D,Time,Project,Task,Day,Hours
,,,,,
1,9-11:30,L0MDT,Firmware,MON,2.0
1,11:30-1,ADMIN,Chithra,MON,1.5
1,1-2,L0MDT,Meeting,MON,1.0
1,2-2:30,L0MDT,Firmware,MON,0.5
1,2:30-3,L0MDT,Firmware,MON,0.5
1,3-4,ADMIN,Chithra,MON,1.0
1,4-5,L0MDT,Firmware,MON,1.0
,,,,,
2,9-10,L0MDT,Firmware,TUE,1.0
2,10-11,ADMIN,Chithra,TUE,1.0
2,11-12,ME0,Meeting,TUE,1.0
2,12-1,ADMIN,Chithra lunch,TUE,1.0
2,1-2,L0MDT,Firmware,TUE,1.0
2,2-5,ME0,pat_unix_mux + tb debugging,TUE,3.0
,,,,,
3,9:30-10,L0MDT,Hog update,WED,0.5
3,10-11:30,L0MDT,Running fibers,WED,1.5
3,11:30-12:30,L0MDT,Hog update,WED,1.0
3,12:30-1,Tracker,Meeting,WED,0.5
3,1-1:30,GE11,Firmware updates,WED,0.5
3,2-2:30,ADMIN,Covid compliance,WED,0.5
3,2:30-3:30,L0MDT,Lab setup,WED,1.0
3,3:30-5,ETL,Meetings,WED,1.5
,,,,,
4,9:30-10,L0MDT,Firmware,THU,0.5
4,10-11,L0MDT,Meeting,THU,1.0
4,11-12,--,LUNCH,THU,1.0
4,12-1,ETL,RB mockup,THU,1.0
4,1-2,ETL,RB mockup,THU,1.0
4,2-3,L0MDT,Firmware,THU,1.0
4,3-3:30,ME0,Chloe,THU,0.5
4,3:30-4,ETL,RB mockup,THU,0.5
4,4-5,ME0,Meeting,THU,1.0
,,,,,
5,9-10,ETL,Mockup,FRI,1.0
5,10-11,Tracker,Meeting,FRI,1.0
5,11-12,L0MDT,Firmware,FRI,1.0
5,12-1,--,LUNCH,FRI,1.0
5,1-1:30,EMPHATIC,Debug XO,FRI,0.5
5,1:30-2,L0MDT,Firmware,FRI,0.5
5,2-3:30,ME0,Chloe,FRI,1.5
,,,,,
,,,,,
8,9-10,L0MDT,SL Review,MON,1.0
8,10-10:30,SICK,Doctors appt,MON,0.5
8,10:30-11,ETL,Meeting,MON,0.5
8,11-12,L0MDT,SL Review,MON,1.0
8,12-1,ETL,Mockup,MON,1.0
8,1-2,L0MDT,Meeting,MON,1.0
8,2-4,ETL,Mockup,MON,2.0
8,4-5,--,Go to pharmacy,MON,1.0
,,,,,
9,9-10,ME0,Meeting,TUE,1.0
9,10-11,L0MDT,Firmware,TUE,1.0
9,11-12,GE21,Firmware,TUE,1.0
9,12-1,GE11,Firmware,TUE,1.0
9,1-2,ETL,Mockup parts,TUE,1.0
9,2-2:30,EMPHATIC,Debug,TUE,0.5
9,2:30-3,DEVEL,3D printer setup,TUE,0.5
9,3-4,ME0,Firmware,TUE,1.0
9,4-5,ME0,Chloe,TUE,1.0
,,,,,
10,9-10,ME0,PCB Updates,WED,1.0
10,10-11,L0MDT,Firmware,WED,1.0
10,11-12:00,GE11,L1A afterpulsing meeting,WED,0.5
10,12-1,Tracker,Meeting,WED,1.0
10,1-2,L0MDT,Firmware,WED,1.0
10,2:30-5,ETL,Meetings,WED,3.0
,,,,,
11,10-11,L0MDT,Meeting,THU,1.0
11,9-5,HOLIDAY,Veterans day,THU,8.0
,,,,,
12,9-10,Tracker,Meeting,FRI,1.0
12,10-11,ETL,Mockup,FRI,1.0
12,11-12,L0MDT,Firmware,FRI,1.0
12,12-1,--,EDF Lunch,FRI,1.0
12,1-2,ETL,Mockup,FRI,1.0
12,2-4,L0MDT,Firmware,FRI,1.0
12,4-5,SCOTT-LAB-CAMERA,PCB review,FRI,1.0
,,,,,
,,,,,
15,9-12,L0MDT,Trimming debug,MON,3.0
15,12-1,--,LUNCH,MON,1.0
15,1-2,L0MDT,Meeting,MON,1.0
15,2-4,L0MDT,Trimming debug,MON,2.0
15,4-5:30,ETL,RB / mockup,MON,1.5
,,,,,
16,9-10,L0MDT,Firmware/git issues,TUE,1.0
16,10-11,ME0,Meeting,TUE,1.0
16,11-5,L0MDT,Firmware/git issues,TUE,6.0
,,,,,
17,9-10,ETL,Baseplate,WED,1.0
17,11-11:30,L0MDT,Firmware,WED,0.5
17,11:30-1,GE11,L1A meeting,WED,1.5
17,1-2,--,LUNCH,WED,1.0
17,2-4,L0MDT,Firmware,WED,2.0
17,4-5,ETL,Meeting,TUE,1.0
,,,,,
18,8:30-9,GE11,CSC/GEM Meeting,THU,0.5
18,9-10,ETL,Meeting,THU,1.0
18,10-11,L0MDT,Meeting,THU,1.0
18,11-12,GE21,Meeting,THU,1.0
18,12-1,GE11,Meeting,THU,1.0
18,1-2,ME0,Meeting,THU,1.0
18,2-3,L0MDT,Firmware,THU,1.0
18,3-4,Tracker,IPMC Meeting,THU,1.0
18,4-5,ME0,Chloe,THU,1.0
,,,,,
19,9-10,Tracker,Meeting,FRI,1.0
19,10-11,Tracker,IPMC,FRI,1.0
19,11-12,Emphatic,Tejasava,FRI,1.0
19,12-1,--,LUNCH,FRI,1.0
19,1-3,L0MDT,Firmware,FRI,2.0
19,3-5,ME0,Chloe,FRI,2.0
,,,,,

