2022-02,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,31*,1,2,3,4,5,6,
ATLAS-MUON-PHASE2,1.50,4.50,1.00,0,0,0,0,Firmware; PDR; PDR Pretalk
CMS-ETL,3.50,0,5.00,1.00,1.00,0,0,Followup work; Integration meeting; Meeting; Meeting + followup; Mockup orders; Mockup with students
APOLLO,0,1.50,0,1.50,0,0,0,Adam; IPMC updates; MPI CM Meeting
CMS-EMU-OPS-GE11,0,1.00,2.50,2.00,2.00,0,0,DDR Firmware; Firmware update; VFAT Taskforce
CMS-EMU-UPGRADE-GE21,0,0,1.00,2.00,2.00,0,0,DDR Firmware; Phase 2 Meeting; VFAT Taskforce
CMS-EMU-UPGRADE-ME0,0,0,1.50,1.00,0,0,0,Chloe; Meeting
CMS-PIXEL-DTC,0,0,0,0,1.00,0,0,Meeting
,7,8,9,10,11,12,13,
ATLAS-MUON-PHASE2,0,0,0,0.50,0,0,0,Meet with Eric
APOLLO,0,0,2.00,1.00,0,0,0,IPMC Meeting; Networking issues / IPMC
CMS-EMU-OPS-GE11,0,0,0,1.50,0,0,0,Firmware (4 Gbps)
CMS-EMU-UPGRADE-GE21,0,0,1.00,0,0,0,0,Firmware (DDR)
CMS-ETL,4.00,5.00,1.00,0.50,0,0,0,Meet with Daniel; Meeting; Mockup
CMS-EMU-UPGRADE-ME0,1.00,1.00,0,1.00,0,0,0,Chloe; Meeting
CMS-PIXEL-DTC,0,0,0.50,0,0,0,0,Meeting
ADMIN,2.00,0,0,0,0,0,0,EDF Meeting; Email
CMS-EMU-OPS-CSC,0,2.00,0,3.50,0,0,0,Meet with Eric; ODMB Integration; ODMB Meeting; ODMB Review
SICK,0,0,4.00,0,0,0,0,Muscle spasm
,14,15,16,17,18,19,20,
,21,22,23,24,25,26,27,
,28,1*,2*,3*,4*,5*,6*,

