2021-03,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,1,2,3,4,5,6,7,
CMS-ETL,2.50,0,1.00,0,0,0,0,Meeting; Slides for Ted
ATLAS-MUON-PHASE2,4.00,1.00,4.50,2.50,1.00,0,0,CSM Setup; Chat with Guillermo; Cocotb; Meeting; Meeting with John; Slides
CMS-PIXEL-DTC,1.00,5.00,1.50,0,1.00,0,0,IPMC; IPMC work; Meeting
CMS-EMU-UPGRADE-ME0,0.50,0,2.00,1.00,1.50,0,0,Chat with Chloe; Chat with Evaldas; Meeting; Segment finding
CMS-EMU-UPGRADE-GE21,0.50,0,0,1.00,1.50,0,0,Chat with Evaldas; Cocotb; Firmware testing
CMS-EMU-OPS-GE11,0,1.00,0,1.00,1.50,0,0,Chat with Evaldas; Cocotb; Firmware testing; Testbench
EMPHATIC,0,0,1.00,0.50,2.00,0,0,Chat with Eric; Code review; Firmware review + Meeting
,8,9,10,11,12,13,14,
CMS-ETL,0,0,0.50,0.50,2.00,0,0,Chat with Daniel; LPGBT issues; LPGBT issues :(; Skype interrupts; fusing & board repair
ATLAS-MUON-PHASE2,0,0,0,2.00,0,0,0,Meeting
CMS-PIXEL-DTC,0,0,2.50,0,3.00,0,0,IPMC; IPMC / YAML chat with Dan; IPMC Development; Meeting; TIF Meeting; USB Boot/chat with Dan
CMS-EMU-UPGRADE-ME0,0,0,1.00,0,1.00,0,0,Hog testing; Meeting
CMS-EMU-UPGRADE-GE21,0,0,0,1.00,0,0,0,Cluster building
CMS-EMU-OPS-GE11,0,0,0,0.50,0,0,0,Cluster building
EMPHATIC,0,0,1.00,0,0,0,0,Meeting
VAC,8.00,8.00,0,0,0,0,0,
SICK,0,0,2.00,2.50,0,0,0,Chiropractor
,15,16,17,18,19,20,21,
CMS-ETL,2.00,0.50,1.50,0,4.00,0,0,Assembly queries; CI setup; Chat with Daniel; Computer setup; Lab computer setup; Meeting; test stand setup
ATLAS-MUON-PHASE2,4.00,5.00,1.50,2.00,1.00,0,0,Chat with Eric + Dan; FELIX Meeting; Firmware updates; Meeting; Repository work; YAML; YAML infrastructure; YAML slaves firmware; firmware rebasing
CMS-PIXEL-DTC,1.00,1.00,2.00,0,1.50,0,0,Chat with Eric + Dan; Help charlie w/ ipbb; IPMC + control chat with Dan; IPMC chat; Meeting
CMS-EMU-UPGRADE-ME0,0,0,0,0,2.50,0,0,Firmware; GEM Meeting
CMS-EMU-UPGRADE-GE21,0,0,0,3.50,0.50,0,0,Firmware testing
CMS-EMU-OPS-GE11,0,0,0.50,3.50,0,0,0,Firmware strip mapping; Firmware testing
EMPHATIC,1.00,0,0,0,0,0,0,Readout discussion with Eric
SICK,0,0,2.50,0,0,0,0,Chiropractor
CMS-EMU-OPS-CSC,0,0,0,0,0.50,0,0,Email to Alex Dorsett
,22,23,24,25,26,27,28,
CMS-ETL,2.50,1.00,0,0,0,0,0,Email to Indara; Orders; Test stand setup; interrupts; test stand setup
ATLAS-MUON-PHASE2,2.50,0,2.00,7.50,8.50,0,0,Chat with Dan + Eric; Firmware updates; Meeting; Meeting with Dan; Spybuffers; firmware builds
CMS-PIXEL-DTC,0,3.50,2.00,1.00,0,0,0,Backend Meeting; IPMC Adapter PCB; ordering
CMS-EMU-UPGRADE-ME0,0,1.00,0,0,1.00,0,0,Chat with Joseph; Meeting
CMS-EMU-UPGRADE-GE21,1.00,1.00,0,0,0,0,0,Firmware integration; Trigger link testing; repo setup
CMS-EMU-OPS-GE11,0,1.50,0,0,0,0,0,Firmware integration; repo setup
EMPHATIC,1.00,0,0,0,0,0,0,Meeting with Eric + Linyan
,29,30,31,1*,2*,3*,4*,
ATLAS-MUON-PHASE2,6.50,5.00,0,5.00,1.00,0,0,Chat with Eric; Debugging XML to VHDL; Firmware; Firmware build system; Gitlab issues; Meeting; Project builds; Spybuffers; YAML
CMS-PIXEL-DTC,1.00,1.00,5.00,0,2.00,0,0,IPMC; IPMC linker issues; IPMC makefile + shelf testing; IPMC shelf testing; Meeting; Project build issues; new adapter dongle for v1
CMS-EMU-UPGRADE-ME0,0,1.00,0,1.00,1.00,0,0,Chat with Chloe; Chat with Evaldas; Segment finding firmware
CMS-EMU-UPGRADE-GE21,0,0.50,0,1.00,0,0,0,Accruals; Firmware updates & repo; USCMS Meeting
CMS-EMU-OPS-GE11,0,0.50,0,0,0,0,0,Firmware updates & repo
SICK,0,0,3.00,0,0,0,0,Chiropractor
ADMIN,0,0,0,1.00,0,0,0,Billing
EMPHATIC,0,0,0,0,3.00,0,0,Chat with Eric; Meeting with Eric + Linyan + Mike
CMS-ETL,0,0,0,0,1.00,0,0,Chat with Daniel
