D,Time,Project,Task,Day,Hours
1,9-10,GE21,Workshop,WED,1.0
1,10-11,L0MDT,Meeting,WED,1.0
1,11-12,L0MDT,Firmware timing,WED,1.0
1,12-1,Tracker,Meeting,WED,1.0
1,2-4,L0MDT,Firmware,WED,2.0
1,4-5,ETL,Meeting,WED,1.0
1,5-6,Tracker,IPMC Firmware,WED,1.0
,,,,,
2,9-10,L0MDT,Firmware,THU,1.0
2,10-11,L0MDT,Meeting,THU,1.0
2,11-2,DEVEL,Cleanup EDF,THU,3.0
2,2-4,L0MDT,Firmware,THU,2.0
2,4-5,ME0OH,Meeting,THU,1.0
,,,,,
3,9-10,Tracker,Meeting,FRI,1.0
3,10-12,L0MDT,Firmware,FRI,1.0
3,12-1,--,EDF LUNCH,FRI,1.0
3,1-5,DEVEL,Cleanup EDF,FRI,4.0
,,,,,
,,,,,
6,9:00-10,L0MDT,Firmware,MON,1.0
6,10-11,GE11,Clocking update,MON,1.0
6,11-5,SICK,Back pain,MON,6.0
,,,,,
7,8-12:30,L0MDT,SL Review,TUE,4.5
7,12:30-2:30,GE21,GBT Firmware,TUE,2.0
7,2:30-3:00,ETL,Meet w/ Daniel,TUE,0.5
7,3-4,L0MDT,Firmware,TUE,1.0
7,4-5,GE11,MGT updates,TUE,1.0
,,,,,
8,9-12:30,GE21,GBT Firmware,WED,3.5
8,12:30-4,L0MDT,Firmware,WED,3.5
8,4-5:30,L0MDT,CM Review,WED,1.0
,,,,,
9,9-10,L0MDT,Firmware,THU,1.0
9,10-11,L0MDT,Firmware,THU,1.0
9,11-12,ETL,Meeting,THU,1.0
9,12-1,--,Lunch w/ Eric,THU,1.0
9,3-4,APOLLO,IPMC Meeting,THU,1.0
9,4-5,ME0OH,Meeting,THU,1.0
9,5-5:30,ME0OH,Pinout check,THU,0.5
,,,,,
10,9-12,L0MDT,Schematic review,FRI,3.0
10,12-1,--,EDF Lunch,FRI,1.0
10,2:30-3:30,ME0SF,Chloe,FRI,1.0
10,3:30-4:30,L0MDT,Schematic review,FRI,1.0
,,,,,
11,12-5,L0MDT,Schematic review,SAT,6.0
,,,,,
,,,,,
13,9-10:00,GE11,OH Timing,MON,1.0
13,10-12:30,GE21,OH Timing,MON,1.5
13,12:30-3,L0MDT,Firmware,MON,2.5
13,3-6,ADMIN,Holiday Party,MON,3.0
,,,,,
14,8:30-10:30,ETL,HPTD Meeting,TUE,2.0
14,10:30-11:30,L0MDT,HPTD Meeting,TUE,1.0
14,11:30-12,L0MDT,Firmware,TUE,0.5
14,1-1:30,L0MDT,Firmware,TUE,0.5
14,1:30-3,GE21,Timing constraints,TUE,1.5
14,3-5,GE11,4g firmware,TUE,2.0
14,5-6,GE11,Timing constraints,TUE,1.0
,,,,,
15,9-10,L0MDT,Firmware,WED,1.0
15,10-11,L0MDT,Meeting,WED,1.0
15,11-12,--,LUNCH,WED,1.0
15,12-2,GE21,Firmware updates,WED,2.0
15,2-6,--,(banked work from Saturday),WED,4.0
,,,,,
16,9-10,L0MDT,Firmware,THU,1.0
16,10-11,L0MDT,Meeting,THU,1.0
16,11-12,ETL,Assembly meeting,THU,1.0
16,12-1,GE21,USCMS Meeting,THU,1.0
16,1-2,L0MDT,Firmware (TAR/HPS split),THU,1.0
16,2-3,L0MDT,Firmware,THU,1.0
16,3-4,ETL,Meet with Daniel,THU,1.0
16,4-5,ME0OH,Meeting,THU,1.0
,,,,,
17,9-10:00,ME0BE,Phase2 Planning,FRI,1.0
17,10-11:30,GE21,Phase2 Planning,FRI,1.5
17,11:30-12:30,--,LUNCH,FRI,1.0
17,12:30-1:30,GE11,Firmware,FRI,1.0
17,1-3,DEVEL,EDF Cleanup,FRI,2.0
17,3-5,L0MDT,Firmware,FRI,2.0
,,,,,
,,,,,
20,9-11,L0MDT,Firmware,MON,2.0
20,11-12,GE11,Firmware,MON,2.0
20,12-1,GE21,Firmware,MON,1.0
20,1-2,GE11,Firmware (4g link),MON,1.0
20,2-3,--,LUNCH,MON,1.0
20,3-5,L0MDT,Firmware,MON,1.0
,,,,,
21,9-11,GE11,Firmware,TUE,2.0
22,11-1,GE21,Firmware,WED,2.0
22,1-4,L0MDT,Firmware,WED,3.0
,,,,,
22,9-5,HOLIDAY,Christmas,WED,8.0
23,9-5,HOLIDAY,Christmas,THU,8.0
24,9-5,HOLIDAY,Christmas,FRI,8.0
,,,,,
,,,,,
27,9-5,HOLIDAY,Christmas,MON,8.0
28,9-5,HOLIDAY,Christmas,TUE,8.0
29,9-5,HOLIDAY,Christmas,WED,8.0
30,9-5,HOLIDAY,Christmas,THU,8.0
31,9-5,HOLIDAY,Christmas,FRI,8.0
,,,,,

