D,Time,Project,Task,Day,Hours
2,9-5,VAC,Vacation,MON,8.0
,,,,,
3,9:30-10,ADMIN,Billing,TUE,0.5
3,10-11,L0MDT,Hog meeting,TUE,1.0
3,11-12,ME0BE,Meeting,TUE,1.0
3,12-1,ADMIN,Panos lunch,TUE,1.0
3,1:30-2,ETL,Firmware,TUE,0.5
3,2-6,APOLLO,Meet with Panos,TUE,4.0
,,,,,
4,9-11,SICK,Doctors appt,WED,2.0
4,11-12,L0MDT,Firmware,WED,1.0
4,12-1,--,Lunch,WED,1.0
4,1-2,ETL,Meet w/ Indara,WED,1.0
4,2-4,ETL,Emulator Firmware,WED,2.0
4,4-5,ETL,Meeting,WED,1.0
,,,,,
5,9-10,L0MDT,Firmware,THU,1.0
5,10-1,ETL,Bolek,THU,3.0
5,1-2,L0MDT,Slides,THU,1.0
5,2-3,--,Coffee w/ Indara,THU,1.0
5,3-4,L0MDT,Slides,THU,1.0
,,,,,
6,9-11,L0MDT,Slides,FRI,2.0
6,11-11,ETL,MT Schematic,FRI,0.0
6,1-5,SICK,,FRI,4.0
,,,,,
,,,,,
9,9-11,ETL,Firmware updates,MON,2.0
9,1-2,L0MDT,Meeting,MON,1.0
9,2-3,ETL,Lab w/ daniel,MON,1.0
9,3-4,ETL,Firmware updates,MON,1.0
9,4-6,SICK,,MON,2.0
,,,,,
10,9-9:30,L0MDT,Slides,TUE,0.5
10,9:30-10,ETL,Lab w/ daniel,TUE,0.5
10,10-11,L0MDT,Slides,TUE,1.0
10,11-11:30,ETL,Firmware update,TUE,0.5
10,12-1,GE21,KCU Firmware,TUE,1.0
10,1-2,ME0,KCU Firmware,TUE,1.0
10,2-3,GE11,KCU Firmware,TUE,1.0
10,3-5,ETL,Meet w/ Ted,TUE,2.0
,,,,,
11,9-10,--,Breakfast,WED,1.0
11,10-11,ETL,DAQ link counting,WED,1.0
11,11-12,ME0,Workshop,WED,1.0
,,,,,
12,9-9:30,ADMIN,Talk to Eric,THU,0.5
12,9:30-10,ETL,Firmware,THU,0.5
12,10-11,L0MDT,Meeting,THU,1.0
12,11-12,ETL,Integration meeting,THU,1.0
12,12-12:30,GE21,KCU Firmware,THU,0.5
12,12:30-1,ME0,KCU Firmware,THU,0.5
12,1-1:30,GE11,KCU Firmware,THU,0.5
12,3-4,ETL,HV Mux,THU,1.0
12,4-5,ME0OH,Meeting,THU,1.0
,,,,,
13,9-10,ETL,DAQ rates,FRI,1.0
13,10-11,ETL,DAQ Meeting,FRI,1.0
13,11-12,ETL,HV Mux,FRI,1.0
13,12-1,--,LUNCH,FRI,1.0
13,1-2,ME0SF,Chloe,FRI,1.0
13,2-3,--,Daniel,FRI,1.0
13,3-3:30,CSC,Kaitlyn,FRI,0.5
,,,,,
,,,,,
16,9:30-10:30,ETL,Documentation,MON,1.0
16,10:30-11,ETL,Meeting,MON,0.5
16,11-11:30,L0MDT,Slides,MON,0.5
16,12-12:30,ETL,BV distribution,MON,0.5
16,2-3,GE21,KCU105,MON,1.0
16,3-4,GE11,KCU105,MON,1.0
16,4-5,ME0,KCU105,MON,1.0
,,,,,
17,9-12,L0MDT,Workshop,MON,3.0
17,1-3,SICK,Doctor's appt,TUE,2.0
17,3-3:30,GE21,KCU105,TUE,2.0
17,3:30-4,GE11,KCU105,TUE,0.5
17,4-4:30,ME0,KCU105,TUE,0.5
,,,,,
18,8-11,L0MDT,Workshop,WED,3.0
18,12-5,SICK,Back pain,WED,5.0
,,,,,
19,10-11,ETL,Specs,THU,1.0
19,11-12,ETL,Integration meeting,THU,1.0
19,12-2,ETL,Specs,THU,2.0
19,4-5,ME0OH,Hardware meeting,THU,1.0
,,,,,
20,9-2,VAC,Vacation,FRI,5.0
20,2-3:30,ME0SF,Meeting,FRI,1.5
,,,,,
23,9-5,VAC,Vacation,MON,8.0
,,,,,
24,9-5,VAC,Vacation,TUE,8.0
,,,,,
25,9:30-10,L0MDT,Meet with Guillermo,WED,1.0
25,10-12,L0MDT,Update flavors script,WED,2.0
25,12-1,--,EDF Lunch,WED,1.0
25,1-2,L0MDT,Meet with Eric,WED,1.0
25,3-4,ME0SF,Meeting,WED,1.0
25,4-4:30,L0MDT,Meet with Dan,WED,0.5
,,,,,
26,9-10:30,--,Running late,THU,1.5
26,10:30-11,L0MDT,Update flavors,THU,0.5
26,11-12,ETL,Integration meeting,THU,1.0
26,12-1:30,L0MDT,Update build,THU,1.5
26,1:30-2:30,--,Matcha maiko,THU,1.0
26,2:30-4,L0MDT,Update build,THU,1.5
26,4-5,ME0BE,Firmware meeting,THU,1.0
,,,,,
27,9-11,L0MDT,Firmware updates,FRI,2.0
27,11-2,--,Katherine,FRI,3.0
27,2-3,ETL,Meeting,FRI,1.0
27,3-4:30,ME0SF,Meeting,FRI,1.5
,,,,,
,,,,,
30,9-5,Holiday,Memorial Day,MON,8.0
,,,,,
31,9-9:30,ADMIN,Email cleanup,TUE,0.5
31,9:30-11:30,ETL,Module questions,TUE,2.0
31,11:30-12,--,,TUE,0.5
31,1-4,ETL,Module tester schematic,TUE,3.0
,,,,,

