2022-07,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,27*,28*,29*,30*,1,2,3,
ADMIN,1.00,0,0,0,0,0,0,Chat w/ Eric
CMS-ETL,3.00,1.50,0,3.00,0,0,0,BV connector; DDMTD w/ Daniel; HPTD Meeting; Hog meeting; Maria; Meet w/ Daniel; Workshop prep
CMS-EMU-UPGRADE-ME0,0,1.00,0,1.00,0,0,0,FW meeting; Meeting
CMS-EMU-OPS-GE11,0,0,0,0.50,0,0,0,Trigger primitives
ATLAS-MUON-PHASE2,2.00,1.50,0,1.00,0,0,0,CSM chat w/ Eric; CSM review; Hog meeting; Meeting; Monthly summary
CMS-EMU-UPGRADE-GE21,0,0,0,0.50,0,0,0,Firmware Repository
VAC,0,0,8.00,0,0,0,0,Day off
,4,5,6,7,8,9,10,
HOLIDAY,8.00,0,0,0,0,0,0,July 4th
VAC,0,8.00,0,0,0,0,0,July 4th
,11,12,13,14,15,16,17,
,18,19,20,21,22,23,24,
,25,26,27,28,29,30,31,

