2021-09,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,30*,31*,1,2,3,4,5,
ATLAS-MUON-PHASE2,1.50,0,0,1.50,1.00,0,0,Cocotb; Firmware Merge; Gitlab review; Measure cable trays; Meeting
CMS-ETL,5.50,0,0,1.00,0,0,0,Firmware updates; Meeting; Modules and HV; Slides
VAC,0,8.00,8.00,0,0,0,0,Moving
CMS-EMU-OPS-CSC,0,0,1.00,0,0,0,0,ALCT Cables Meeting
ADMIN,0,0,0,0.50,0,0,0,Billing
CMS-EMU-OPS-GE11,0,0,0,1.00,0,0,0,Channel mapping
CMS-EMU-UPGRADE-ME0,0,0,0,2.00,0,0,0,Meeting; Schematic review
APOLLO,0,0,0,1.00,3.50,0,0,Documentation; IPMC; OpenIPMC Meeting + followup work
CMS-PIXEL-DTC,0,0,0,0,1.00,0,0,Meeting
DEVEL,0,0,0,0,2.00,0,0,Scope testing
,6,7,8,9,10,11,12,
CMS-EMU-OPS-CSC,0,0.50,0,0,0,0,0,ALCT voltage drop
ADMIN,0,0.50,0,0,0,0,0,Billing/monthly reporting
ATLAS-MUON-PHASE2,0,1.50,0,0,0,0,0,Firmware; Hog meeting
CMS-EMU-UPGRADE-ME0,0,2.00,0,3.50,6.00,0,0,Chloe; Fitting; Meeting; Segment finding
CMS-ETL,0,0,2.50,1.25,0,0,0,Chris + Daniel; Email; Email Caleb; Meeting; Stack height
APOLLO,0,0,3.50,3.00,0,0,0,IPMC Firmware; IPMC Meeting; IPMC Slides
CMS-PIXEL-DTC,0,0,0.50,0,1.00,0,0,Meeting
HOLIDAY,8.00,0,0,0,0,0,0,
SICK,0,4.00,0,0,0,0,0,Mental health
,13,14,15,16,17,18,19,
ADMIN,0,1.00,0,0,0,0,0,Chat with Eric
ATLAS-MUON-PHASE2,1.00,0.50,0.50,1.50,0,0,0,Chat w/ Thiago; Fiber shopping; Meeting
CMS-EMU-OPS-GE11,0,0,0,0.50,3.00,0,0,Clusterizer testing; Reverse polarity; Strip mapping
CMS-EMU-UPGRADE-ME0,3.00,3.50,2.00,1.00,2.00,0,0,Chloe; Clusterizer testing; Documentation; Fitting; Meeting
CMS-ETL,2.00,2.00,4.50,2.50,1.00,0,0,Firmware debug/updates; Firmware documentation; Firmware updates; Meeting; Module tester; PCB planning; RB work
APOLLO,1.00,0,0,2.00,0.50,0,0,IPMC Firmware Updates; IPMC chat; Meet with Eric+Dan; OpenIPMC Meeting
CMS-PIXEL-DTC,0,0,1.00,0,0.50,0,0,Chat w/ Dan; Meeting
CMS-EMU-UPGRADE-GE21,0,0,0,0,1.00,0,0,Clusterizer testing
,20,21,22,23,24,25,26,
ADMIN,0.50,1.00,0,0,0,0,0,Billing; Sexual harassment training
ATLAS-MUON-PHASE2,1.50,1.00,1.00,1.00,0,0,0,Discussion w/ Priya; Fibers; Firmware discussion; Meeting; Order fibers
CMS-EMU-OPS-GE11,0.50,0,0,0,0,0,0,Firmware updates
CMS-EMU-UPGRADE-ME0,0,0,0,1.00,3.50,0,0,Chloe; Meeting; Testbench
CMS-ETL,1.50,2.50,4.50,2.50,3.50,0,0,Annual review; BPOL48V; Grounding; Meeting; Module tester; VTRX Requirements
APOLLO,1.00,1.00,1.00,1.00,0.50,0,0,IPMC Meeting; IPMC Sensors Updates; OpenIPMC; OpenIPMCs
CMS-PIXEL-DTC,0,0,1.50,0,0,0,0,Meeting
DEVEL,0.50,1.00,0,0.50,0,0,0,TWEPP
SICK,2.00,0.50,0,0,0,0,0,Back pain break; Flu shot
CMS-EMU-UPGRADE-GE21,0,0,0.50,1.50,0,0,0,Meeting; Reverse polarity
,27,28,29,30,1*,2*,3*,
