2021-07,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,28*,29*,30*,1,2,3,4,
ATLAS-MUON-PHASE2,1.00,0,0,2.00,0,0,0,Meeting
CMS-ETL,1.50,1.50,2.00,0,0,0,0,Chat w/ Eric; Chat with Indara + Daniel; Email to Riga; Meeting
CMS-PIXEL-DTC,0,0,1.00,0,1.00,0,0,Meeting
CMS-EMU-UPGRADE-ME0,0,1.00,0,1.00,0,0,0,Meeting
CMS-EMU-OPS-GE11,2.00,2.00,2.00,1.00,2.00,0,0,Firmware
SICK,0,2.00,0,0,0,0,0,Chiropractor
APOLLO,3.00,1.50,1.00,4.00,4.00,0,0,Chat w/ Eric; Chat w/ Eric + Dan; IPMC
,5,6,7,8,9,10,11,
ATLAS-MUON-PHASE2,0,0,0,3.00,0,0,0,Chat with Eric; Meeting
CMS-EMU-UPGRADE-ME0,0,0,0,2.00,0,0,0,Chloe; UCLA Meeting
CMS-PIXEL-DTC,0,0,0,1.00,1.00,0,0,Firmware; Meeting
HOLIDAY,8.00,0,0,0,0,0,0,July 4th
VAC,0,8.00,8.00,0,0,0,0,
CMS-ETL,0,0,0,0.50,3.00,0,0,Email to Girts; Emulator Board
ADMIN,0,0,0,0.50,0,0,0,Billing
EMPHATIC,0,0,0,0,2.00,0,0,Meet with Eric + Tejasava
,12,13,14,15,16,17,18,
ATLAS-MUON-PHASE2,1.00,0,0,1.00,0,0,0,Meeting
APOLLO,5.00,1.00,3.00,0,3.50,0,0,I2C debugging; IPMC; Schematic review
CMS-EMU-OPS-GE11,0,0,0.50,0,0,0,0,Firmware updates
CMS-EMU-UPGRADE-ME0,0,3.50,0,1.50,2.00,0,0,ASIAGO Release; Chloe; Meeting
CMS-PIXEL-DTC,0,0,1.00,0,1.00,0,0,Meeting
CMS-ETL,1.00,3.00,3.00,4.00,0.50,0,0,Chat with Indara; Meet with Indara; Meeting; Orders; PCB; Power adapter; Requirements doc
ADMIN,0,0.50,0,0,0,0,0,Billing
EMPHATIC,1.00,1.00,1.00,0.50,0,0,0,Eric + Tejasava; Tejasava
CMS-EMU-UPGRADE-GE21,0,0.50,0.50,0,0,0,0,Firmware; Firmware updates
,19,20,21,22,23,24,25,
,26,27,28,29,30,31,1*,
