2022-05,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,25*,26*,27*,28*,29*,30*,1,
CMS-ETL,0,0,1.00,1.50,4.00,0,0,DAQ Firmware; Emulator; Firmware updates; Giacomo; Integration meeting
ATLAS-MUON-PHASE2,4.00,3.00,5.50,2.00,0.50,0,0,BU Meeting; C2C Zynq; De-rot repository; EE Meeting
CMS-EMU-UPGRADE-ME0,0,0,0,1.00,0.50,0,0,Chloe; Meeting
ADMIN,1.50,2.50,1.00,0,0,0,0,EDF Lunch; EDF Meeting; Email
CMS-EMU-UPGRADE-GE21,0,0,0,0.50,0,0,0,OH Firmware
APOLLO,0,0,0,0,1.50,0,0,AXI Regmap
SICK,2.00,1.50,0,0,0,0,0,Doctors appt; MRI
CMS-EMU-OPS-GE11,0.50,0,0,0.50,0,0,0,OH Firmware; S-bit DAQ
,2,3,4,5,6,7,8,
VAC,8.00,0,0,0,0,0,0,Vacation
,9,10,11,12,13,14,15,
,16,17,18,19,20,21,22,
,23,24,25,26,27,28,29,
,30,31,1*,2*,3*,4*,5*,

