2022-01,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,27*,28*,29*,30*,31*,1,2,
,3,4,5,6,7,8,9,
VAC,8.00,0,0,0,0,0,0,Day off
ADMIN,0,2.00,0,1.50,0,0,0,EDF Chat; Email cleanup; Furniture
CMS-EMU-UPGRADE-ME0,0,1.00,0,0,0,0,0,Meeting
ATLAS-MUON-PHASE2,0,4.00,4.00,4.50,4.50,0,0,Felix TX; Firmware; PDR; Timing
,10,11,12,13,14,15,16,
CMS-EMU-UPGRADE-ME0,1.00,0.50,0,1.00,0,0,0,Chloe; Firmware meeting; Meeting
ATLAS-MUON-PHASE2,4.00,4.50,6.00,9.00,5.00,0,0,DAQ Integration; Firmware; Hog Meeting; Hog documentation; Meeting; PDR
CMS-ETL,1.00,0,0,0,0,0,0,Meeting
CMS-EMU-OPS-CSC,1.00,0,0.50,0,0,0,0,Email Jaebak; Email Sicheng
APOLLO,0,0.50,0,0,0,0,0,IPMC Updates
CMS-EMU-OPS-GE11,0,0,0,0,1.00,0,0,Hog upgrade
CMS-EMU-UPGRADE-GE21,0,0,0,0,1.00,0,0,Hog upgrade
,17,18,19,20,21,22,23,
,24,25,26,27,28,29,30,
,31,1*,2*,3*,4*,5*,6*,

