2022-03,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,28*,1,2,3,4,5,6,
ATLAS-MUON-PHASE2,1.00,0,0,1.00,0,0,0,Meeting
APOLLO,4.50,0,0.50,0,0,0,0,Board meeting; Chat with Dan; IPMC Testing; Tejasava
CMS-EMU-UPGRADE-ME0,1.00,1.00,0.50,2.00,1.00,0,0,Chloe; DPG Meeeting; Firmware; Firmware (new sorter); Meeting; Segment finding slides
ADMIN,1.00,1.00,0,0,1.00,0,0,Chat with Dan; Meet with Eric
CMS-ETL,0,3.00,3.50,1.00,2.00,0,0,Firmware update; Group Meeting; MT specifications; Meet with Daniel; Meet with Indara; Meeting with Sergey; Test stand
CMS-EMU-UPGRADE-GE21,0,1.00,1.50,3.50,0,0,0,Firmware; Firmware (new sorter); Meeting
CMS-EMU-OPS-GE11,0,1.00,2.50,1.00,0,0,0,Firmware; Firmware (new sorter)
VAC,0,0,0,0,2.00,0,0,Katherine
,7,8,9,10,11,12,13,
VAC,8.00,0,0,0,0,0,0,Katherine
,14,15,16,17,18,19,20,
,21,22,23,24,25,26,27,
,28,29,30,31,1*,2*,3*,

