2021-03,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,1,2,3,4,5,6,7,
CMS-ETL,2.50,0,1.00,0,0,0,0,Slides for Ted; Meeting
ATLAS-MUON-PHASE2,4.00,1.00,4.50,2.50,1.00,0,0,Meeting with John; Cocotb; Meeting; Chat with Guillermo; CSM Setup; Slides
CMS-PIXEL-DTC,1.00,5.00,1.50,0,1.00,0,0,Meeting; IPMC; IPMC work
CMS-EMU-UPGRADE-ME0,0.50,0,2.00,1.00,1.50,0,0,Segment finding; Meeting; Chat with Evaldas; Chat with Chloe
CMS-EMU-UPGRADE-GE21,0.50,0,0,1.00,1.50,0,0,Chat with Evaldas; Firmware testing; Cocotb
CMS-EMU-OPS-GE11,0,1.00,0,1.00,1.50,0,0,Cocotb; Chat with Evaldas; Testbench; Firmware testing
EMPHATIC,0,0,1.00,0.50,2.00,0,0,Code review; Chat with Eric; Firmware review + Meeting
,8,9,10,11,12,13,14,
CMS-ETL,0,0,0.50,0.50,2.00,0,0,LPGBT issues :(; fusing & board repair; Skype interrupts; Chat with Daniel; LPGBT issues
ATLAS-MUON-PHASE2,0,0,0,2.00,0,0,0,Meeting
CMS-PIXEL-DTC,0,0,2.50,0,3.00,0,0,IPMC / YAML chat with Dan; Meeting; TIF Meeting; IPMC Development; USB Boot/chat with Dan; IPMC
CMS-EMU-UPGRADE-ME0,0,0,1.00,0,1.00,0,0,Meeting; Hog testing
CMS-EMU-UPGRADE-GE21,0,0,0,1.00,0,0,0,Cluster building
CMS-EMU-OPS-GE11,0,0,0,0.50,0,0,0,Cluster building
EMPHATIC,0,0,1.00,0,0,0,0,Meeting
VAC,8.00,8.00,0,0,0,0,0,
SICK,0,0,2.00,2.50,0,0,0,Chiropractor
,15,16,17,18,19,20,21,
CMS-ETL,2.00,0.50,1.50,0,4.00,0,0,Lab computer setup; Computer setup; CI setup; Meeting; Chat with Daniel; test stand setup; Assembly queries
ATLAS-MUON-PHASE2,4.00,5.00,1.50,2.00,1.00,0,0,Repository work; Chat with Eric + Dan; Meeting; YAML slaves firmware; Firmware updates; YAML; YAML infrastructure; firmware rebasing; FELIX Meeting
CMS-PIXEL-DTC,1.00,1.00,2.00,0,1.50,0,0,Help charlie w/ ipbb; IPMC + control chat with Dan; Chat with Eric + Dan; Meeting; IPMC chat
CMS-EMU-UPGRADE-ME0,0,0,0,0,2.50,0,0,GEM Meeting; Firmware
CMS-EMU-UPGRADE-GE21,0,0,0,3.50,0.50,0,0,Firmware testing
CMS-EMU-OPS-GE11,0,0,0.50,3.50,0,0,0,Firmware testing; Firmware strip mapping
EMPHATIC,1.00,0,0,0,0,0,0,Readout discussion with Eric
SICK,0,0,2.50,0,0,0,0,Chiropractor
CMS-EMU-OPS-CSC,0,0,0,0,0.50,0,0,Email to Alex Dorsett
,22,23,24,25,26,27,28,
CMS-ETL,2.50,1.00,0,0,0,0,0,Test stand setup; interrupts; test stand setup; Email to Indara; Orders
ATLAS-MUON-PHASE2,2.50,0,2.00,7.50,8.50,0,0,Chat with Dan + Eric; Meeting with Dan; Meeting; Firmware updates; firmware builds; Spybuffers
CMS-PIXEL-DTC,0,3.50,2.00,1.00,0,0,0,ordering; Backend Meeting; IPMC Adapter PCB
CMS-EMU-UPGRADE-ME0,0,1.00,0,0,1.00,0,0,Meeting; Chat with Joseph
CMS-EMU-UPGRADE-GE21,1.00,1.00,0,0,0,0,0,repo setup; Firmware integration; Trigger link testing
CMS-EMU-OPS-GE11,0,1.50,0,0,0,0,0,repo setup; Firmware integration
EMPHATIC,1.00,0,0,0,0,0,0,Meeting with Eric + Linyan
,29,30,31,1*,2*,3*,4*,
ADMIN,0,0,0,1.00,0,0,0,Billing
ATLAS-MUON-PHASE2,6.50,5.00,0,5.00,1.00,0,0,Firmware; Gitlab issues; Chat with Eric; Debugging XML to VHDL; Project builds; Meeting; YAML; Firmware build system; Spybuffers
CMS-EMU-UPGRADE-GE21,0,0.50,0,1.00,0,0,0,Accruals; Firmware updates & repo; USCMS Meeting
CMS-EMU-UPGRADE-ME0,0,1.00,0,1.00,1.00,0,0,Chat with Chloe; Chat with Evaldas; Segment finding firmware
EMPHATIC,0,0,0,0,3.00,0,0,Meeting with Eric + Linyan + Mike; Chat with Eric
CMS-ETL,0,0,0,0,1.00,0,0,Chat with Daniel
CMS-PIXEL-DTC,1.00,1.00,5.00,0,2.00,0,0,IPMC makefile + shelf testing; IPMC shelf testing; Meeting; new adapter dongle for v1; IPMC linker issues; Project build issues; IPMC
CMS-EMU-OPS-GE11,0,0.50,0,0,0,0,0,Firmware updates & repo
SICK,0,0,3.00,0,0,0,0,Chiropractor
