D,Time,Project,Task,Day,Hours
,,,,,
1,9-5,VACATION,Moving,WED,8.0
1,9:30-10:30,CSC,ALCT Cables Meeting,WED,1.0
,,,,,
2,8:30-9,ADMIN,Billing,THU,0.5
2,9:30-10,L0MDT,Gitlab review,THU,0.5
2,9-10:00,GE11,Channel mapping,THU,1.0
2,10-11,L0MDT,Meeting,THU,1.0
2,11-12:30,--,Starry,THU,1.5
2,12:30-1:30,ME0,Schematic review,THU,1.0
2,1:30-2,--,"Distractions, moving :(",THU,0.5
2,2-3,ETL,Modules and HV,THU,1.0
2,3-4,APOLLO,OpenIPMC Meeting + followup work,THU,1.0
2,4-5,ME0,Meeting,THU,1.0
,,,,,
3,9-10,Tracker,Meeting,FRI,1.0
3,10-11:30,APOLLO,Documentation,FRI,1.5
3,11:30-12:30,--,LUNCH,FRI,1.0
3,12:30-1:30,L0MDT,Cocotb debug w/ priya,FRI,1.0
3,1:30-3:30,DEVEL,Scope testing,FRI,2.0
3,3:30-5:30,APOLLO,IPMC,FRI,2.0
,,,,,
,,,,,
6,9-5,HOLIDAY,,MON,8.0
,,,,,
7,9:30-10,CSC,ALCT voltage drop,TUE,0.5
7,10-10:30,L0MDT,Firmware,TUE,0.5
7,10:30-11,ADMIN,Billing/monthly reporting,TUE,0.5
7,11-12,L0MDT,Hog meeting,TUE,1.0
7,12-4,SICK,Mental health,TUE,4.0
7,4-5:30,ME0,Chloe,TUE,1.5
7,5-5:30,ME0,Segment finding,TUE,0.5
,,,,,
8,9:30-10,ETL,Email,WED,0.5
8,10-12:30,APOLLO,IPMC Firmware,WED,2.5
8,12:30-1,Tracker,Meeting,WED,0.5
8,1-2,APOLLO,IPMC Firmware,WED,1.0
8,4-4:30,ETL,Email Caleb,WED,0.5
8,4:30-5:30,ETL,Meeting,WED,1.0
8,5:30-6,ETL,Stack height,WED,0.5
,,,,,
9,9:30-10:30,APOLLO,IPMC Slides,THU,1.0
9,10:30-11,APOLLO,IPMC Firmware,THU,0.5
9,11-1:30,ME0,Fitting,THU,2.5
9,1:30-2:45,ETL,Chris + Daniel,THU,1.25
9,3-4:30,APOLLO,IPMC Meeting,THU,1.5
9,5-6,ME0,Fitting,THU,1.0
,,,,,
10,9-10,Tracker,Meeting,FRI,1.0
10,10-12,ME0,Fitting,FRI,2.0
10,12-1,--,LUNCH,FRI,1.0
10,1-2:30,ME0,Fitting,FRI,1.5
10,2:30-3:30,ME0,Meeting,FRI,1.0
10,3:30-4,ME0,Fitting,FRI,0.5
10,4-5,ME0,Fitting,FRI,1.0
,,,,,
,,,,,
13,9:30-10:30,APOLLO,Meet with Eric+Dan,MON,1.0
13,10:30-12,ETL,Module tester,MON,1.5
13,12:30-1,ETL,Firmware documentation,MON,0.5
13,1-2,L0MDT,Meeting,MON,1.0
13,2-4,ME0,Fitting,MON,2.0
13,4-5,ME0,Fitting,MON,1.0
,,,,,
14,9-10,ME0,Fitting,TUE,1.0
14,10-11,ADMIN,Chat with Eric,TUE,1.0
