2021-11,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,1,2,3,4,5,6,7,
ATLAS-MUON-PHASE2,5.00,2.00,4.00,2.50,1.50,0,0,Firmware; Hog update; Lab setup; Meeting; Running fibers
ADMIN,2.50,2.00,0.50,0,0,0,0,Chithra; Chithra lunch; Covid compliance
CMS-EMU-UPGRADE-ME0,0,4.00,0,1.50,1.50,0,0,Chloe; Meeting; pat_unix_mux + tb debugging
CMS-PIXEL-DTC,0,0,0.50,0,1.00,0,0,Meeting
CMS-EMU-OPS-GE11,0,0,0.50,0,0,0,0,Firmware updates
CMS-ETL,0,0,1.50,2.50,1.00,0,0,Meetings; Mockup; RB mockup
EMPHATIC,0,0,0,0,0.50,0,0,Debug XO
,8,9,10,11,12,13,14,
ATLAS-MUON-PHASE2,3.00,1.00,2.00,1.00,2.00,0,0,Firmware; Meeting; SL Review
CMS-EMU-UPGRADE-ME0,0,3.00,1.00,0,0,0,0,Chloe; Firmware; Meeting; PCB Updates
CMS-PIXEL-DTC,0,0,1.00,0,1.00,0,0,Meeting
CMS-EMU-OPS-GE11,0,1.00,0.50,0,0,0,0,Firmware; L1A afterpulsing meeting
CMS-ETL,3.50,1.00,3.00,0,2.00,0,0,Meeting; Meetings; Mockup; Mockup parts
EMPHATIC,0,0.50,0,0,0,0,0,Debug
SICK,0.50,0,0,0,0,0,0,Doctors appt
CMS-EMU-UPGRADE-GE21,0,1.00,0,0,0,0,0,Firmware
DEVEL,0,0.50,0,0,0,0,0,3D printer setup
HOLIDAY,0,0,0,8.00,0,0,0,Veterans day
SCOTT-LAB-CAMERA,0,0,0,0,1.00,0,0,PCB review
,15,16,17,18,19,20,21,
ATLAS-MUON-PHASE2,6.00,7.00,2.50,2.00,2.00,0,0,Firmware; Firmware/git issues; Meeting; Trimming debug
CMS-EMU-UPGRADE-ME0,0,1.00,0,2.00,2.00,0,0,Chloe; Meeting
CMS-PIXEL-DTC,0,0,0,1.00,2.00,0,0,IPMC; IPMC Meeting; Meeting
CMS-EMU-OPS-GE11,0,0,1.50,1.50,0,0,0,CSC/GEM Meeting; L1A meeting; Meeting
CMS-ETL,1.50,0,2.00,1.00,0,0,0,Baseplate; Meeting; RB / mockup
EMPHATIC,0,0,0,0,1.00,0,0,Tejasava
CMS-EMU-UPGRADE-GE21,0,0,0,1.00,0,0,0,Meeting
,22,23,24,25,26,27,28,
ATLAS-MUON-PHASE2,3.00,4.50,0,0,0,0,0,Firmware; Meeting
CMS-PIXEL-DTC,0,1.00,0,0,0,0,0,IPMC FW Update
CMS-ETL,4.00,0,0,0,0,0,0,Meeting; Mockup; Slides
DEVEL,0,2.00,0,0,0,0,0,SoC Workshop
HOLIDAY,0,0,8.00,8.00,8.00,0,0,Thanksgiving
,29,30,1*,2*,3*,4*,5*,

