D,Time,Project,Task,Day,Hours
,,,,,
1,9-10,Tracker,Meeting,FRI,1.0
1,10-12,ETL,Annual review,FRI,2.0
1,12-1,--,Lunch with Eric (U-Grill),FRI,1.0
1,1-2:30,ETL,LpGBT v1 Firmware,FRI,1.5
1,2:30-4,GE21,Reduce latency,FRI,1.5
1,4-4:30,GE11,Reduce latency,FRI,0.5
1,5-6,ADMIN,Billing,FRI,1.0
,,,,,
,,,,,
4,9-10:30,L0MDT,CM Spec Review,MON,1.5
4,10:30-11,GE21,DOE Report,SUN,0.5
4,11-12,L0MDT,CM Spec Review,MON,1.0
4,12-1:30,--,Lunch (Saag Paneer),MON,1.0
4,1:30-2,L0MDT,CM Spec Review,MON,0.5
4,2-3,ETL,Work w/ Daniel,MON,1.0
4,3-4,L0MDT,CM Spec Review,MON,1.0
4,4-5,ME0,Testbench updates/debug,MON,1.0
,,,,,
5,9-10,DEVEL,Twepp,TUE,1.0
5,10-11,ETL,Integration meeting,TUE,1.0
5,11-12,ME0,Meeting,TUE,1.0
5,12-1,L0MDT,Emails,TUE,1.0
5,1-2,--,,TUE,1.0
5,2-3,ETL,FIFO Updates,TUE,1.0
5,3-5,ETL,Mechanical chat w/ Daniel,TUE,2.0
,,,,,
6,9-5,VAC,Vacation,WED,8.0
,,,,,
7,9-5,VAC,Vacation,THU,8.0
,,,,,
8,9-5,VAC,Vacation,FRI,8.0
,,,,,
11,9-5,VAC,Vacation,MON,8.0
,,,,,
12,9-5,VAC,Vacation,TUE,8.0
,,,,,
13,9-9:30,GE21,Meeting,WED,0.5
13,9:30-10,ME0,Meeting,WED,0.5
13,10-11,L0MDT,Meeting,WED,1.0
13,11-12,ADMIN,Email catchup,WED,1.0
13,12-1,Tracker,Meeting,WED,1.0
13,1-1:30,ADMIN,EDF Meeting,WED,0.5
13,2-3,APOLLO,IPMC,WED,1.0
13,3-4,ETL,Grounding,WED,1.0
13,4-5,ETL,Meeting,WED,1.0
,,,,,
14,9-10,L0MDT,Firmware,THU,1.0
14,10-11,L0MDT,Meeting,THU,1.0
