D,Time,Project,Task,Day,Hours
,,,,,
1,9-1,GE21,USCMS,THU,4.0
1,1-5,ME0,USCMS,THU,4.0
,,,,,
2,9-12,ME0,Segment finder,FRI,3.0
2,12-1,ETL,Naomi,FRI,1.0
,,,,,
,,,,,
5,11-12,ME0,Segment finder,MON,1.0
5,10-11,ETL,GUI,MON,1.0
5,11-12,ME0,Segment finder,MON,1.0
5,12-1,ETL,Firmware,MON,1.0
5,1-2,ME0,Segment finder,MON,1.0
5,2-3,--,Personal time,MON,1.0
,,,,,
6,9-11,ME0,Segment finder,TUE,2.5
6,11-11:30,ETL,Firmware,TUE,0.5
6,11:30-2,--,Lunch with Eric,TUE,2.5
,,,,,
7,9-10,ADMIN,EDF Meeting,WED,1.0
7,10-10:30,ME0,Segment finder,WED,0.5
7,10:30-11,ETL,Naomi,WED,0.5
7,11-1,ETL,TX FIFO,WED,2.0
7,1-2,ME0,Meeting,WED,1.0
7,2-2:30,ETL,Group meeting,WED,0.5
7,2:30-3,L0MDT,AXI C2C,WED,0.5
,,,,,
8,8:30-9,ME0,Segment finder,THU,0.5
8,9-9:30,L0MDT,AXI C2C,THU,0.5
8,9:30-10,--,VHDL2019,THU,0.5
8,10-12,ETL,Naomi,THU,2.0
8,12-2,--,Gone home,THU,2.0
,,,,,
9,9-11,ETL,I2C debugging,FRI,2.0
9,11-1,ETL,Naomi,FRI,2.0
,,,,,
12,9-12,ETL,Naomi; RB; Module,MON,3.0
12,1-2,L0MDT,Meeting,MON,1.0
,,,,,
13,9-9:30,--,,TUE,0.5
13,11-12:30,ME0,Meeting,TUE,1.5
13,12:30-1:30,ME0,Segment finder,TUE,1.0
13,1:30-2:30,ETL,PCB quotes,TUE,1.0
14,2:30-3:30,DINESH-MIGDAL,MIGDAL,WED,1.0
,,,,,
14,9:30-11:30,ME0,Segment finder,WED,2.0
14,11:30-1,ETL,Josh,WED,1.5
14,1-1:30,DINESH-MIGDAL,MIGDAL,WED,0.5
14,1:30-2,ETL,Josh,WED,0.5
14,2-3:30,ETL,Meeting,WED,1.5
14,4-5:30,L0MDT,Config readback,WED,1.5
,,,,,
15,8:30-9:30,CSC,CMS week meeting,THU,1.0
15,9:30-12:30,L0MDT,Config readback; CSM 20 mezz,THU,3.0
15,12:30-1,ETL,Naomi/Isaul,THU,0.5
15,1-2,ME0,Meeting,THU,1.0
15,2-5,L0MDT,Config readback; CSM 20 mezz,THU,3.0
,,,,,
16,11-12,DINESH-MIGDAL,Parts; PCB Order,FRI,1.0
16,12-2,ETL,RB,FRI,2.0
16,3-4,L0MDT,AXI issues,FRI,1.0
,,,,,
,,,,,
19,9-2,HOLIDAY,Juneteenth,MON,5.0
19,10:30-11,ETL,Meeting,MON,0.5
19,11-11:30,ETL,RB Design,MON,0.5
,,,,,
20,9-10,--,Forgot my phone,TUE,1.0
20,10-11,L0MDT,DTSI Issues,TUE,1.0
20,11-1,L0MDT,MGT Issues,TUE,2.0
20,1-2,ETL,New firmware,TUE,1.0
20,2-3,ETL,Bias voltage,TUE,1.0
,,,,,
21,9-9:30,L0MDT,MGT Issues,WED,0.5
21,9:30-10:30,ADMIN,EDF Meeting,WED,1.0
21,10:30-11:30,L0MDT,MGT Issues,WED,1.0
21,11:30-12:30,ETL,Naomi,WED,1.0
21,12:30-1,L0MDT,MGT Issues,WED,0.5
21,1-1:30,--,Slides,WED,0.5
21,1:30-2,ETL,Joshua,WED,0.5
,,,,,
22,9-10,ETL,Meeting,THU,1.0
22,10-1,L0MDT,Verena,THU,3.0
22,1-2,ME0,Meeting,THU,1.0
22,2-2:30,ETL,Joshua,THU,0.5
22,2:30-3,ETL,Naomi,THU,0.5
,,,,,
23,9-11,ETL,Naomi; Joshua,FRI,2.0
23,11-1,--,Priority encoder,FRI,2.0
,,,,,
,,,,,
26,9-2,VAC,California,MON,5.0
,,,,,
27,9-2,VAC,California,TUE,5.0
,,,,,
28,9-12,L0MDT,Workshop,WED,3.0
,,,,,
29,8:30-10,L0MDT,Workshop,THU,1.5
29,10-11,ETL,Naomi,THU,1.0
29,11-12,ADMIN,Ranting,THU,1.0
29,12-12:30,ETL,Daniel,THU,0.5
29,12:30-1,ETL,Boards orders,THU,0.5
29,1-2,ME0,Meeting,THU,1.0
,,,,,
30,9-10:30,--,Doctors appt,FRI,1.5
30,10:30-11,ETL,Board orders,FRI,0.5
30,11-1,ME0,Firmware; Parts,FRI,2.0
30,1-3,ETL,Chloe; Naomi,FRI,2.0
,,,,,

