2023-04,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,27*,28*,29*,30*,31*,1,2,
CMS-ETL,1.50,1.00,1.00,0,1.50,0,0,Meeting; Module PCB; Naomi; Software
CMS-EMU-UPGRADE-ME0,4.00,5.00,4.50,5.00,3.50,0,0,Firmware; Meeting; Segment finder
APOLLO,0,0,0.50,0,0,0,0,Splice plate
,3,4,5,6,7,8,9,
CMS-EMU-UPGRADE-ME0,3.50,2.75,4.50,3.00,4.00,0,0,Meeting; Segment finder
ADMIN,1.00,0.50,0,0,0,0,0,Air conditioner
ATLAS-MUON-PHASE2,0.50,0,0,0,0,0,0,Meeting
CMS-ETL,0.50,1.25,1.00,1.00,1.00,0,0,BV/LV Connectors; Daniel; Firmware; Meeting; Module PCB
,10,11,12,13,14,15,16,
CMS-EMU-UPGRADE-ME0,0,0,1.00,0,3.00,0,0,Firmware; Meeting
ADMIN,0,0,1.00,0,0,0,0,EDF Meeting
ATLAS-MUON-PHASE2,3.00,0,0,0,1.00,0,0,Refclk firmware
CMS-ETL,2.00,0,4.00,0,4.00,0,0,ATC; Clock synth script; Meeting; Software
CMS-EMU-OPS-CSC,3.50,0,0,0,0,0,0,TMB2025
CMS-EMU-UPGRADE-GE21,0,0,0.50,0,0,0,0,Firware
VAC,0,0,0,5.00,0,0,0,DMV
,17,18,19,20,21,22,23,
CMS-EMU-UPGRADE-ME0,0,0.50,2.00,0,0,0,0,Meeting; Segment finder; Woohyon
ADMIN,0,0,1.00,0,0,0,0,EDF Meeting
ATLAS-MUON-PHASE2,0,0.50,0,0,0,0,0,LPGBT
CMS-ETL,0,1.00,1.50,4.00,1.00,0,0,DAQ GUI; Meeting; Naomi; Software
CMS-EMU-UPGRADE-GE21,0,0.50,0,0,0,0,0,Nana
HOLIDAY,5.00,0,0,0,0,0,0,Patriots day
ROBLYER-DDOSI,0,0,0,1.00,0,0,0,Board update
CMS-PIXEL-DTC,0,0,0,0,0.50,0,0,Panos test bench
,24,25,26,27,28,29,30,
VAC,5.00,5.00,5.00,5.00,5.00,0,0,Vacation

