2023-03,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,27*,28*,1,2,3,4,5,
CMS-ETL,2.50,3.00,4.00,4.00,3.00,0,0,Emulator; Firmware; Meeting; Module; Module PCB; Naomi; RB SW; Test stand
CMS-EMU-UPGRADE-ME0,2.00,0,0,0,0,0,0,ME0SF; Meeting
CMS-EMU-UPGRADE-GE21,0,2.50,1.50,0,0,0,0,OH FW; OH Firmware
ATLAS-MUON-PHASE2,1.00,0,0,0,0,0,0,HAL; Meeting
CMS-EMU-OPS-GE11,0,1.00,1.00,0,0,0,0,OH FW; OH Firmware
CMS-EMU-OPS-CSC,0,0,0,0,1.50,0,0,OTMB
,6,7,8,9,10,11,12,
CMS-EMU-UPGRADE-GE21,1.00,2.00,0,0,0,0,0,CVP13; Firmware; OH Firmware
CMS-EMU-OPS-GE11,1.50,2.00,0,0,0,0,0,CVP13; Firmware; OH Firmware
CMS-ETL,2.00,0.50,1.00,1.00,1.00,0,0,Firmware; Meeting; Module PCB; RB; Software
CMS-EMU-OPS-CSC,0,0,0,1.00,2.00,0,0,TMB2025
CMS-EMU-UPGRADE-ME0,0,0.50,1.00,0.75,0,0,0,CVP13; Firmware; ME0OH
ADMIN,0,0,3.00,1.25,0,0,0,EDF Chat; Flood (moving)
,13,14,15,16,17,18,19,
CMS-EMU-UPGRADE-GE21,0,0,0,0,0.50,0,0,OH Firmware
CMS-EMU-OPS-GE11,0,0,0,0,0.50,0,0,OH Firmware
CMS-ETL,2.00,1.00,1.00,0.50,2.00,0,0,Firmware; Meeting; Module PCB; RB
CMS-EMU-OPS-CSC,0,0,0,0,1.00,0,0,TMB2025
CMS-EMU-UPGRADE-ME0,0,3.00,3.50,2.00,1.00,0,0,Meeting; Segment finder
ADMIN,0,1.00,1.00,0,0,0,0,Computer issues; EDF meeting
ATLAS-MUON-PHASE2,0.50,0,0,0,0,0,0,Meeting
,20,21,22,23,24,25,26,
CMS-ETL,1.00,1.00,5.50,2.00,2.00,0,0,Meeting; Module PCB; RB; Readout board
CMS-EMU-OPS-CSC,3.00,1.50,0,0,0,0,0,TMB2025
CMS-EMU-UPGRADE-ME0,2.00,2.00,3.00,2.50,2.00,0,0,Meeting; Segment finder
ADMIN,0,0,0,0,0,2.00,0,Grad student visits
APOLLO,0,0,0.50,0,0,0,0,Panos
,27,28,29,30,31,1*,2*,
CMS-ETL,1.50,0,0,0,0,0,0,Module PCB
CMS-EMU-UPGRADE-ME0,3.00,0,0,0,0,0,0,Meeting; Segment finder

