D,Time,Project,Task,Day,Hours
,,,,,
1,9:30-11,GE21,OH FW,WED,1.5
1,11-12,GE11,OH FW,WED,1.0
1,12-2,ETL,Meeting,WED,2.0
1,2-2:30,--,Lunch,WED,0.5
1,2:30-4:30,ETL,Emulator,WED,2.0
,,,,,
2,10-2,ETL,Meeting; Module PCB; Emulator,THU,4.0
,,,,,
3,9:30-11,CSC,OTMB,FRI,1.5
3,11-11:30,ETL,Emulator,FRI,0.5
3,11:30-2,ETL,Firmware,FRI,2.5
,,,,,
,,,,,
6,9:30-10:30,ETL,Module PCB,MON,1.0
6,10:30-11:30,GE21,Firmware,MON,1.0
6,11:30-1,GE11,Firmware,MON,1.5
6,1-2,ETL,Software,MON,1.0
,,,,,
7,9-9:30,ETL,Firmware,TUE,0.5
7,9:30-11:00,GE21,OH Firmware,TUE,1.5
7,11-12:30,GE11,OH Firmware,TUE,1.5
7,1-1:30,GE11,CVP13,TUE,0.5
7,1:30-2,GE21,CVP13,TUE,0.5
7,2-2:30,ME0,CVP13,TUE,0.5
,,,,,
8,9-11,ADMIN,Flood (moving),WED,2.0
8,11-12,ETL,Meeting,WED,1.0
8,1-2,ME0,Firmware,WED,1.0
8,2-3,ADMIN,Flood (moving),WED,1.0
,,,,,
9,9-9:30,ADMIN,Flood (moving),THU,0.5
9,9:30-10:30,ETL,Module PCB,THU,1.0
9,10:30-11,ME0OH,ME0OH,THU,0.5
9,11-11:45,ADMIN,EDF Chat,THU,0.75
9,11:45-12,ME0OH,ME0OH,THU,0.25
9,12-1,CSC,TMB2025,THU,1.0
,,,,,
10,10-12,CSC,TMB2025,FRI,2.0
10,1-2,ETL,RB,FRI,1.0
,,,,,
,,,,,
13,12-1,ETL,Module PCB,MON,1.0
13,1-1:30,L0MDT,Meeting,MON,0.5
13,1:30-2:30,ETL,RB,MON,1.0
,,,,,
14,10-11,ADMIN,Computer issues,TUE,1.0
14,11-12,ETL,RB,TUE,1.0
14,12-3,ME0SF,Segment finder,TUE,3.0
,,,,,
15,9-9:30,ADMIN,EDF meeting,WED,0.5
15,9:30-10:30,ETL,Meeting,WED,1.0
15,10:30-11,ADMIN,EDF meeting,WED,0.5
15,11-1,ME0SF,Segment finder,WED,2.0
15,1-2,ME0OH,Meeting,WED,1.0
15,2-2:30,ME0SF,Segment finder,WED,0.5
,,,,,
16,10:30-11,ETL,Module PCB,THU,0.5
16,11-1,ME0SF,Segment finder,THU,2.0
,,,,,
17,9-10,CSC,TMB2025,FRI,1.0
17,10-10:30,GE21,OH Firmware,FRI,0.5
17,10:30-11,GE11,OH Firmware,FRI,0.5
17,11-12,ME0SF,Segment finder,FRI,1.0
17,12-2,ETL,Meeting; Firmware,FRI,2.0
,,,,,
,,,,,
20,9:30-10:30,ETL,Module PCB,MON,1.0
20,10:30-12:30,ME0SF,Segment finder,MON,2.0
20,12:30-3:30,CSC,TMB2025,MON,3.0
,,,,,
21,9:30-10:30,ETL,Module PCB,TUE,1.0
21,10:30-12:30,ME0SF,Segment finder,TUE,2.0
21,12:30-2,CSC,TMB2025,TUE,1.5
,,,,,
22,10-11,ME0SF,Segment finder,WED,1.0
22,11-11:30,APOLLO,Panos,WED,0.5
22,11:30-12:300,ETL,Meeting,WED,5.5
22,1-2,ME0OH,Meeting,WED,1.0
22,2-3,ME0SF,Segment finder,WED,1.0
,,,,,
23,9-9:30,ME0SF,Segment finder,THU,0.5
23,9:30-10:30,ETL,Readout board,THU,1.0
23,10:30-12,ME0SF,Segment finder,THU,1.0
23,12-1,ETL,Meeting,THU,1.0
23,1-2,ME0SF,Segment finder,THU,1.0
,,,,,
24,9-11,ME0SF,Segment finder,FRI,2.0
24,11-1,ETL,RB,FRI,2.0
,,,,,
25,10-12,ADMIN,Grad student visits,SAT,2.0
,,,,,
,,,,,
27,9:30-11,ETL,Module PCB,MON,1.5
27,11-12,ME0OH,Meeting,MON,1.0
27,12-2,ME0SF,Segment finder,MON,2.0
,,,,,

