D,Time,Project,Task,Day,Hours
,,,,,
2,9-12,APOLLO,Regmap,MON,3.0
2,12-1,--,LUNCH,MON,1.0
2,1-2,L0MDT,Regmap update,MON,1.0
2,2-3,L0MDT,Meeting,MON,1.0
2,3-5:30,ETL,SW debugging; firmware updates,MON,2.5
,,,,,
3,9-10,ETL,Link format,TUE,1.0
3,10-11,--,Office moving,TUE,1.0
3,11-12,ME0BE,Meeting,TUE,1.0
3,12-1,--,LUNCH,TUE,1.0
3,1-6,ETL,Readout board schematic,TUE,5.0
3,6-7,ETL,Managers,TUE,1.0
,,,,,
4,9-11,ETL,Readout board schematic,WED,2.0
4,11-12,L0MDT,Firmware updates,WED,1.0
4,12-1,Tracker,Meeting,WED,1.0
4,1-2,L0MDT,Firmware updates,WED,1.0
4,2-3:30,ME0SF,Chloe,WED,1.5
4,3:30-4,L0MDT,Firmware updates,WED,0.5
4,4-6:00,ETL,Meeting,WED,2.0
,,,,,
5,9-10,ETL,Slides,THU,1.0
5,10-12:00,L0MDT,Firmware updates,THU,2.0
5,12-12:30,--,LUNCH,THU,0.5
5,12:30-1,EMPHATIC,Talk with Eric,THU,0.5
5,1-1:30,ETL,"Talk with Eric, Daniel",THU,0.5
5,1:30-3,L0MDT,Firmware updates,THU,1.5
5,3-3:30,ETL,SW debugging,THU,0.5
5,3:30-6,L0MDT,Firmware updates,THU,2.5
,,,,,
6,9-11,L0MDT,Firmware updates,FRI,2.0
6,11-12,APOLLO,IPMC,FRI,1.0
6,12-1,--,LUNCH,FRI,1.0
6,1-2,L0MDT,Firmware updates,FRI,1.0
6,2-3,ME0OH,Schematic updates; Review responses,FRI,1.0
6,3-4:30,APOLLO,IPMC,FRI,1.0
,,,,,
,,,,,
9,9-9:30,GE21,Gitlab repo,MON,0.5
9,9:30-10,GE11,Gitlab repo,MON,0.5
9,10-12:30,L0MDT,Firmware updates,MON,2.5
9,12:30-2:30,L0MDT,Firmware updates,MON,2.0
9,2:30-3:30,--,LUNCH,MON,1.0
9,3:30-5:30,L0MDT,Firmware updates,MON,2.0
,,,,,
10,9:30-10,APOLLO,IPMC,TUE,0.5
10,10-10:30,ETL,Slides,TUE,0.5
10,10:30-11,ETL,Slides,TUE,0.5
10,11-12:30,ME0BE,Meeting,TUE,1.5
10,12:30-1:30,APOLLO,Power outage,TUE,1.0
10,1:30-2,L0MDT,Firmware updates,TUE,0.5
10,2-3,L0MDT,Firmware updates,TUE,2.0
10,3-6:30,ETL,RB testing,TUE,3.5
10,6:30-7,EMPHATIC,Tejasava,TUE,0.5
,,,,,
11,9-9:30,ETL,Slides,WED,0.5
11,9:30-10:30,--,Office moving,WED,1.0
11,10:30-12,L0MDT,Firmware issues,WED,1.5
11,12-1,Tracker,Meeting,WED,1.0
11,1-2,APOLLO,IPMC Firmware updates,WED,1.0
11,3-5,ETL,Board testing; meeting,WED,2.0
,,,,,
12,9-11,L0MDT,meetings,THU,2.0
12,11-11:30,ETL,Tejasava,THU,0.5
12,11:30-12,--,Office setup (monitors),THU,0.5
12,12-12:30,L0MDT,Firmware,THU,0.5
12,12:30-1,ETL,Slides,THU,0.5
12,1-2,ETL,KCU Setup,THU,1.0
12,2-3:30,ME0SF,Chloe,THU,1.5
12,4-5,ME0OH,Meeting,THU,1.0
12,5:30-6,ETL,Slides w/ Chris+Daniel,THU,0.5
,,,,,
13,10-10:30,ME0OH,Chat w/ UCLA,FRI,0.5
13,10:30-11,ETL,Daniel,FRI,0.5
13,11-11:30,APOLLO,IPMC,FRI,0.5
13,11:30-12,GE11,Metadata format,FRI,0.5
13,11-11:30,GE21,Metadata format,FRI,0.5
13,12-1,--,LUNCH,FRI,1.0
13,1-1:30,GE11,Metadata format,FRI,0.5
13,1:30-2,GE21,Metadata format,FRI,0.5
13,2-3,Tracker,Firmware updates,FRI,1.0
13,3-5,ETL,RB Testing,FRI,2.0
,,,,,
,,,,,
16,9:30-10,APOLLO,Chat w/ Dan,MON,0.5
16,10-11:30,ETL,VTRX+ I2C Debug,MON,1.5
16,11:30-1,L0MDT,Firmware updates,MON,1.5
16,1-1:30,CSC,Crate shipping,MON,0.5
16,1:30-2,L0MDT,Firmware updates,MON,0.5
16,2-3,L0MDT,Meeting,MON,1.0
16,3-3:30,APOLLO,Chat w/ Dan,MON,0.5
16,4-5:30,ETL,Mechanics & connectors,MON,1.5
,,,,,
17,9-11,L0MDT,Firmware updates,TUE,2.0
17,11-12,ME0BE,Meeting,TUE,1.0
17,12-1,ETL,Connectors,TUE,1.0
17,1-2:30,GE11,Latency optimization,TUE,1.5
17,2:30-4,GE11,Latency optimization,TUE,1.5
17,4-6,ME0OH,Meeting,TUE,2.0
,,,,,
18,9:30-10,GE11,Firmware repo,WED,0.5
18,10-10:30,GE21,Firmware repo,WED,1.0
18,10:30-11,ME0BE,Firmware repo,WED,0.5
18,11-12,ETL,Debug w/ Daniel,WED,1.0
18,12-1,Tracker,Meeting,WED,1.0
18,1-2,L0MDT,Firmware,WED,1.0
18,2-3,ME0BE,Apex/Hog issues,WED,1.0
18,3-5,ETL,Debug w/ Daniel; Meeting,WED,2.0
,,,,,
19,9-10,GE21,Apex/Hog issues,THU,1.0
19,10-11,L0MDT,Hog updates,THU,1.0
19,11-2,GE21,Apex/Hog issues,THU,3.0
19,2-4,L0MDT,Hog updates,THU,2.0
19,4-5,ME0OH,Meeting,THU,1.0
,,,,,
20,9-10,L0MDT,Hog updates,FRI,1.0
20,10-11,GE21,Hog updates,FRI,1.0
20,11-12,GE11,Hog updates,FRI,1.0
20,12-1,--,LUNCH,FRI,1.0
20,2-6,ETL,Firmware updates; Board debug,FRI,4.0
,,,,,
,,,,,
23,9-10:30,ETL,Firmware,MON,1.5
23,10:30-11,GE21,Firmware,MON,0.5
23,11-11:30,GE11,Firmware,MON,0.5
23,11:30-6,ETL,Firmware (DAQ+GBT-IC),MON,6.5
,,,,,
24,9-11,ETL,DAQ testing,TUE,2.0
24,11-12,ME0BE,Meeting,TUE,1.0
24,12-2:00,GE21,Repository issues,TUE,1.5
24,2:00-3:30,ME0BE,Repository issues,TUE,1.0
24,3:30-4,--,Went to the bank,TUE,0.5
24,4-4:30,L0MDT,Monthly report,TUE,0.5
,,,,,
25,,,,WED,
25,9-10,L0MDT,Repository debug,WED,2.0
25,10-11,--,,WED,1.0
25,11-11:30,L0MDT,Meeting slides,WED,0.5
25,12-3:30,L0MDT,Firmware updates,WED,3.5
25,3:30-6,ETL,Meeting; Firmware updates/testing,WED,2.5
,,,,,
26,9-12,ME0OH,"OH Layout Updates, Review",THU,3.0
26,12-1,L0MDT,Firmware updates,THU,1.0
26,1-1:30,--,Billing,THU,0.5
27,1:30-2,ETL,Firmware,FRI,0.5
26,2-3,ME0SF,Chloe,THU,1.0
26,3:30-4:30,ADMIN,Frank Talk,THU,1.0
,,,,,
27,9-10,L0MDT,Firmware,FRI,1.0
27,10-11,ETL,Software work,FRI,1.0
27,11-12,DEVEL,Scope demo,FRI,1.0
27,12-1,--,LUNCH,FRI,1.0
27,1-2,ETL,Meeting with Ted,FRI,1.0
27,2-3,ME0SF,Chloe,FRI,1.0
27,3-4,APOLLO,IPMC Meeting,FRI,1.0
,,,,,
,,,,,
30,9-10:30,ETL,Slides,MON,1.0
30,10:30-12:30,ETL,Meeting,MON,2.0
30,12:30-1,--,Lunch,MON,0.5
30,1-1:30,--,Internet service etc.,MON,0.5
30,1:30-2,ETL,Firmware updates,MON,0.5
30,2-3,L0MDT,Meeting; Measure cable trays,MON,1.0
30,3-4,ETL,Firmware updates,MON,1.0
30,4-5:00,L0MDT,Firmware Merge,MON,0.5
30,5-6,ETL,Firmware updates,MON,1.0
,,,,,
31,9-5,VACATION,Moving,TUE,8.0
,,,,,

