2021-02,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,1,2,3,4,5,6,7,
CMS-ETL,4.00,4.00,0,0,1.50,0,0,Digikey; Ethernet mac; Firmware; Meet w/ Chris; PCB Orders; purchasing
ATLAS-MUON-PHASE2,1.00,1.00,0,0,0,0,0,Bu Meeting; Purchase Fibers
CMS-PIXEL-DTC,1.00,1.00,6.00,0,2.00,0,0,DAQ Meeting; IPMC; Meeting; Meeting with Tom etc
CMS-EMU-UPGRADE-GE21,0,0,0,0.50,0,0,0,Accruals
CMS-EMU-UPGRADE-ME0,0,0,0,0.50,1.00,0,0,Accruals; Meeting w/ UCLA
CMS-EMU-OPS-GE11,0,0,0,0,2.50,0,0,Firmware; Firwmare
,8,9,10,11,12,13,14,
CMS-ETL,0,4.00,0,1.00,0,0,0,Firmware updates; Meeting; testing of trigger
ATLAS-MUON-PHASE2,1.00,0,1.00,2.00,0,0,0,Meeting; Tube mapping meeting
CMS-PIXEL-DTC,0,0,3.00,0,2.00,0,0,IPMC; Meeting
CMS-EMU-UPGRADE-GE21,0,0,0,1.00,0,0,0,Meeting
CMS-EMU-UPGRADE-ME0,0,0,0.50,0,1.00,0,0,Meeting; UCLA meeting
,15,16,17,18,19,20,21,
CMS-ETL,0,1.50,0,1.50,0,0,0,Meet w/ Daniel & Chris; Reading proposal document; Software; Software discussion
ATLAS-MUON-PHASE2,0,2.00,0,3.00,9.00,0,0,AXI; AXI Control; Chat w/ Dan; EE Meeting; Emails to Markus and Xueye; Monitoring/Yaml/Tcl; Slides (axi clock domain); Soc Meeting
CMS-PIXEL-DTC,0,0,4.50,0.50,0,0,0,IPMC; Meet w/ Zeynep
CMS-EMU-UPGRADE-GE21,0,0,0.50,0,0,0,0,Laurent & Evaldas
CMS-EMU-UPGRADE-ME0,0,0,1.00,1.00,1.00,0,0,Firmware; Segment finding slides; UCLA Meeting
CMS-EMU-OPS-GE11,0,0,1.00,0.50,0,0,0,Laurent & Evaldas
HOLIDAY,8.00,0,0,0,0,0,0,
,22,23,24,25,26,27,28,
CMS-ETL,0,0,0,0,1.00,0,0.50,Meet w/ Daniel + Chris; Slides
ATLAS-MUON-PHASE2,9.00,3.00,0,5.50,0,0,0,Chat w/ Eric; Firmware build; HOG Meeting; Slides; Yaml BD
CMS-PIXEL-DTC,0,0,1.50,1.00,5.50,0,0,IPMC; Meeting
CMS-EMU-UPGRADE-GE21,0,0,0,0,0,0,0.50,Accruals
CMS-EMU-UPGRADE-ME0,0,0,0,0,1.00,0,0.50,Accruals; UCLA meeting
SICK,0,3.00,6.50,0,0,0,0,Back problems :(; Chiropractor

