2022-08,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,1,2,3,4,5,6,7,
ADMIN,3.00,0,0,0,0,0,0,Artemis
CMS-EMU-UPGRADE-ME0,0,0,2.00,0,0,0,0,Segment finder
CMS-ETL,0,0,3.00,5.00,3.00,0,0,BV; Mechanics; Mechanics meeting; Meeting
,8,9,10,11,12,13,14,
CMS-EMU-UPGRADE-ME0,1.00,2.00,2.00,1.00,2.00,0,0,Segment finder
CMS-ETL,1.00,1.00,1.00,1.00,1.00,0,0,BV; Mechanics
CMS-EMU-OPS-CSC,0,0,0,1.00,0,0,0,Debug X2O fw build issue
APOLLO,0,0,0,0,2.00,0,0,IPMC
,15,16,17,18,19,20,21,
ADMIN,0,0,0,1.00,0,0,0,EDF Meeting
CMS-EMU-UPGRADE-ME0,0,4.00,2.00,1.00,0,0,0,EMTF Workshop; OH meeting
CMS-ETL,0,0,2.00,1.00,0,0,0,Meet with Daniel; Meet with Rice
CMS-EMU-OPS-CSC,8.00,0,2.00,0,0,0,0,EMTF Workshop
CMS-EMU-UPGRADE-GE21,0,4.00,2.00,2.00,5.00,0,0,Cluster finding; EMTF Workshop
CMS-EMU-OPS-GE11,0,0,0,2.00,3.00,0,0,Cluster finding
,22,23,24,25,26,27,28,
ADMIN,1.00,0.50,0.50,1.50,0,0,0,EDF Meeting; Timesheets
CMS-EMU-UPGRADE-ME0,0,1.00,0,0,0,0,0,Meeting
CMS-ETL,1.50,0,4.00,2.00,3.50,0,0,BV; Emulator FW; Meeting; RB; Test stand
CMS-EMU-UPGRADE-GE21,0.50,0,0,0,0,0,0,Meeting
ATLAS-MUON-PHASE2,1.00,1.00,0.50,1.00,0,0,0,EE Meeting; Fix Firmware Bug; Meeting
SICK,0,0,1.00,0,0,0,0,Doctors appt
,29,30,31,1*,2*,3*,4*,
ADMIN,2.00,3.50,2.00,0,0,0,0,EDF Chat; EDF Meeting; Email; Meet w/ Eric; Meet w/ Grace
CMS-ETL,3.50,1.00,4.00,3.50,0,0,0,Indara; MUX64; Meeting; RB
CMS-EMU-UPGRADE-GE21,0,2.00,0,0,0,0,0,Plugin card
ATLAS-MUON-PHASE2,1.00,0,0,0,0,0,0,Meeting
VAC,0,0,0,0,8.00,0,0,Katherine move

