2022-10,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,26*,27*,28*,29*,30*,1,2,
CMS-ETL,3.00,5.00,6.00,4.50,2.00,0,0,Firmware; Integration meeting; Meet with Daniel; Meeting; RB firmware; meeting
ATLAS-MUON-PHASE2,1.00,0,0,1.00,0,0,0,Meeting
CMS-EMU-UPGRADE-ME0,0,0,0,1.00,0.50,0,0,OH Meeting; Reporting
APOLLO,0,0,0,1.00,0,0,0,Meet with Alp
CMS-EMU-OPS-GE11,0,0,1.00,0,0,0,0,OH firmware
CMS-EMU-UPGRADE-GE21,0,0,1.00,0,0.50,0,0,OH firmware; Reporting
ADMIN,0,0,0,0,2.50,0,0,CERN Training; EDF Meeting
,3,4,5,6,7,8,9,
APOLLO,0.50,0,1.00,0,0,0,0,Panos; lpGBT
CMS-EMU-UPGRADE-ME0,1.50,1.00,1.00,0,0,0,0,Meeting; Reporting
CMS-EMU-OPS-CSC,1.50,0,0.50,0,0,0,0,TMB+; TMB+ Meeting
CMS-ETL,0.50,3.50,2.00,0,0,0,0,BV connector; Hog; Meeting; RB review
ATLAS-MUON-PHASE2,0.50,0.50,0,0,0,0,0,Hog; Meeting
CMS-EMU-UPGRADE-GE21,0.50,0,0,0,0,0,0,Reporting
VAC,0,0,0,8.00,8.00,0,0,Maine
,10,11,12,13,14,15,16,
APOLLO,0,0,2.50,0,0,0,0,Alp; Panos
CMS-EMU-UPGRADE-ME0,0,0,1.00,1.00,0,0,0,CI; Cluster finder; Jade
CMS-EMU-OPS-CSC,0,0,0,1.00,0,0,0,TMB+
CMS-ETL,0,0,2.00,2.00,2.50,0,0,Diego; Emulator fw; Power board; RB
CMS-EMU-UPGRADE-GE21,0,0,2.50,2.00,2.00,0,0,Cluster finder
VAC,8.00,8.00,0,0,0,0,0,Maine
ADMIN,0,0,0.50,0,0,0,0,Email
CMS-EMU-OPS-GE11,0,0,2.50,1.00,3.00,0,0,Cluster finder; Latency optimization
,17,18,19,20,21,22,23,
APOLLO,0,1.00,0,0,0,0,0,OpenIPMC
CMS-EMU-UPGRADE-ME0,0,0,1.50,0,0,0,0,Queso
CMS-EMU-OPS-CSC,1.00,0.50,0,0,0,0,0,TMB+
CMS-ETL,3.00,3.00,4.00,5.00,6.00,0,0,BV; Breakout board; Meeting; Parts request; RB; RB Layout
ATLAS-MUON-PHASE2,0.50,0.50,0,0,0,0,0,Hog updates; Meeting
CMS-EMU-UPGRADE-GE21,0,0.50,0,0,0,0,0,Hog updates
ADMIN,2.50,0.50,1.00,0,0,0,0,Andrei; Email; Meet w/ Ed; Meet w/ Eric; Meeting
SICK,0,0,2.00,0,0,0,0,Doctors appt
,24,25,26,27,28,29,30,
CMS-EMU-UPGRADE-ME0,0.50,1.00,1.00,0,0,0,0,Abhisek; Firmware meeting; Meeting
CMS-ETL,6.50,5.00,4.50,3.50,6.00,0,0,Firmware; Meeting; Meeting atc; NIM adapter; RB; RB BOM; RB Layout; Slides
ATLAS-MUON-PHASE2,0,0,0,1.00,0,0,0,Meeting
ADMIN,0,0,0,0.50,0,0,0,EDF Meeting
SICK,0,0,0,2.00,0,0,0,Doctor
,31,1*,2*,3*,4*,5*,6*,
CMS-ETL,4.00,7.50,6.00,0,5.00,0,0,BV; Firmware; Meeting; RB Firmware; Slides
ATLAS-MUON-PHASE2,1.00,0,0,0,0,0,0,Meeting
ADMIN,1.00,0.50,0,0,0,0,0,EDF chat
APOLLO,0,0,1.00,0,0,0,0,IPMC Debug
SICK,0,0,0,8.00,0,0,0,Sick
CMS-EMU-UPGRADE-ME0,0,0,0,0,1.00,0,0,Meeting

