2023-07,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,26*,27*,28*,29*,30*,1,2,
CMS-EMU-UPGRADE-ME0,0,0,0,1.00,2.00,0,0,Firmware; Meeting; Parts
CMS-ETL,0,0,0,2.00,2.50,0,0,Board orders; Boards orders; Chloe; Daniel; Naomi
ADMIN,0,0,0,1.00,0,0,0,Ranting
ATLAS-MUON-PHASE2,0,0,3.00,1.50,0,0,0,Workshop
VAC,5.00,5.00,0,0,0,0,0,California
,3,4,5,6,7,8,9,
HOLIDAY,5.00,5.00,0,0,0,0,0,July 4
CMS-ETL,0,0,2.75,3.50,3.00,1.50,0,Firmware; Firmware update; Group Meeting; MTD DAQ; Naomi; Software; Tech support
ADMIN,0,0,2.50,0,0,0,0,EDF Committee; EDF Meeting
,10,11,12,13,14,15,16,
CMS-ETL,0,0.75,1.00,0,3.00,0,0,ETROC mods; Firmware; Meeting; Naomi
ADMIN,1.00,0,0.50,0,0,0,0,Madorsky
ATLAS-MUON-PHASE2,3.00,6.50,4.50,3.00,2.00,0,0,Workshop
CMS-EMU-UPGRADE-ME0,0,0,0,1.00,0,0,0,Meeting
YOUNGER-MISC,0,0,0,0,1.00,0,0,Meeting
,17,18,19,20,21,22,23,
CMS-ETL,1.00,3.00,1.50,2.00,1.00,0,0,Chloe; ETROC FW; Naomi; RB
ADMIN,0,0,0.50,0,2.00,0,0,Admin; Interview
ATLAS-MUON-PHASE2,8.00,4.00,2.00,7.00,3.50,0,0,Workshop
YOUNGER-MISC,0,1.00,0,0,0.50,0,0,Orders; PCB
,24,25,26,27,28,29,30,
CMS-ETL,3.00,3.00,1.00,0,0,0,0,Chloe; FW; Modification instructions; NIM converter; Naomi
ADMIN,1.00,0,0,0,0,0,0,Admin meeting
ATLAS-MUON-PHASE2,1.00,0,1.00,0,0,0,0,FW; Meeting; debug w/ Davide
CMS-EMU-UPGRADE-ME0,0,1.00,0,1.00,0,0,0,Meeting
,31,1*,2*,3*,4*,5*,6*,

