D,Time,Project,Task,Day,Hours
1,9-9:30,GE21,Nana,MON,0.5
1,9-2,VAC,Vacation,MON,5.0
,,,,,
2,9-2,VAC,Vacation,TUE,5.0
2,2-2:30,ME0,Current sense,TUE,0.5
,,,,,
3,9-2,VAC,Vacation,WED,5.0
,,,,,
4,9:30-10,GE21,Optical links,THU,0.5
4,10-11,ETL,Naomi,THU,1.0
4,11-12:30,ETL,Module PCB testing,THU,1.5
4,1-2,ETL,Module PCB testing,THU,1.0
4,2-2:30,ADMIN,Billing,THU,1.0
4,2:30-3,ME0,Segment finder,THU,0.5
,,,,,
5,9:30-10,ETL,Module PCB testing,FRI,0.5
5,10-11,CSC,Electronics meeting,FRI,1.0
5,11-12,ETL,Module PCB testing,FRI,1.0
5,12-12:30,ME0,Segment finder,FRI,0.5
5,12:30-1,CMS-PIXEL-DTC,Test bench,FRI,0.5
,,,,,
,,,,,
8,9-10,ETL,Module PCB,MON,1.0
8,10-10:30,GE21,Strip mapping,MON,0.5
8,10:30-11,ADMIN,EDF Meeting,MON,0.5
8,11-12,ME0,Meeting,MON,1.0
8,12-1,ETL,Meeting,MON,1.0
8,1-1:30,L0MDT,Meeting,MON,0.5
8,1:30-2:30,ADMIN,EDF Meeting,MON,1.0
,,,,,
9,9-9:30,GE21,Strip mapping,TUE,0.5
9,10:30-11,ME0,Segment finder,TUE,0.5
9,11-11:30,ETL,Panos,TUE,0.5
9,11:30-1,ME0,Segment finder,TUE,1.0
9,1-1:30,ADMIN,Grace,TUE,0.5
9,1:30-2:30,ADMIN,Computer setup,TUE,1.0
,,,,,
10,9:30-10:30,ADMIN,EDF Meeting,WED,1.0
10,10:30-11,ADMIN,Computer setup,WED,0.5
10,11-11:30,ME0SF,Segment finder,WED,0.5
10,11:30-12:30,ETL,Meeting,WED,1.0
10,12:30-1:30,ME0SF,Segment finder,WED,1.0
10,1:30-2:30,ME0SF,Segment finder,WED,1.0
,,,,,
11,9-10,ME0SF,Segment finder,THU,1.0
11,10-11:30,GE21,Meeting,THU,1.5
11,11:30-12,ADMIN,CERN Email Issues,THU,0.5
11,12-12:30,--,Banking etc,THU,0.5
11,12:30-1,ME0,GEB Monitoring,THU,0.5
11,1-1:30,ADMIN,Gitlab runner,THU,0.5
11,1:30-2,--,Cleanup inbox,THU,0.5
,,,,,
12,9-9:30,ETL,Module PCB,FRI,0.5
12,9:30-12:00,ME0SF,Segment finder,FRI,2.0
12,12-1,--,,FRI,1.0
12,1-2,ME0SF,Segment finder,FRI,1.0
,,,,,
,,,,,
15,9-10,ETL,Meeting,MON,1.0
15,10-11,ME0SF,Segment finder,MON,1.0
15,11-2,CSC,OTMB,MON,3.0
,,,,,
16,9-9:30,ETL,Readout board,TUE,0.5
16,9:30-11,CSC,OTMB,TUE,1.5
16,11-1:30,ETL,Readout board,TUE,2.5
17,1:30-2:30,ETL,TX Firmware,WED,1.0
,,,,,
17,9-11:30,--,Car repair,WED,2.5
17,11:30-12:30,ETL,Meeting,WED,1.0
17,12:30-1,--,Car repair,WED,0.5
17,1-1:30,ME0,Meeting,WED,0.5
17,1:30-4:30,ETL,TX Firmware,WED,3.0
,,,,,
18,9:30-10:30,ME0,ME0SF,THU,1.0
18,10:30-11,--,go home,THU,0.5
18,11-11:30,ETL,Module PCB,THU,0.5
18,11:30-12,ME0,ME0SF,THU,0.5
,,,,,

