2022-03,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,28*,1,2,3,4,5,6,
ATLAS-MUON-PHASE2,1.00,0,0,1.00,0,0,0,Meeting
APOLLO,4.50,0,0.50,0,0,0,0,Board meeting; Chat with Dan; IPMC Testing; Tejasava
CMS-EMU-UPGRADE-ME0,1.00,1.00,0.50,2.00,1.00,0,0,Chloe; DPG Meeting; Firmware; Firmware (new sorter); Meeting; Segment finding slides
ADMIN,1.00,1.00,0,0,1.00,0,0,Chat with Dan; Meet with Eric
CMS-ETL,0,3.00,3.50,1.00,2.00,0,0,Firmware update; Group Meeting; MT specifications; Meet with Daniel; Meet with Indara; Meeting with Sergey; Test stand
CMS-EMU-UPGRADE-GE21,0,1.00,1.50,3.50,0,0,0,Firmware; Firmware (new sorter); Meeting
CMS-EMU-OPS-GE11,0,1.00,2.50,1.00,0,0,0,Firmware; Firmware (new sorter)
VAC,0,0,0,0,2.00,0,0,Katherine
,7,8,9,10,11,12,13,
CMS-ETL,0,3.00,2.00,2.50,0.50,0,0,Firmware Update; Firmware update; Hog updates; Meeting (Modules); Spec doc; Test stand; Test stand setup
CMS-EMU-UPGRADE-ME0,0,1.00,0,1.00,1.00,0,0,Cluster DAQ; Firmware meeting; Meeting
CMS-EMU-UPGRADE-GE21,0,2.00,1.00,0,1.00,0,0,Cluster DAQ; Firmware; Firmware updates
CMS-EMU-OPS-GE11,0,1.50,1.00,0,1.00,0,0,Cluster DAQ; Firmware; Firmware updates
APOLLO,0,0,1.00,3.00,0,0,0,Documentation; Firmware update; IPMC FW; Meeting
ATLAS-MUON-PHASE2,0,0,0,1.00,4.00,0,0,Meeting (EE); PDR Answers; PDR Followup Meeting
VAC,8.00,0,0,0,0,0,0,Katherine
CMS-EMU-OPS-CSC,0,0,3.00,0,0.50,0,0,ODMB Review
,14,15,16,17,18,19,20,
CMS-ETL,3.50,2.00,0.50,3.00,0,0,0,BU Meeting; Firmware update; Lab work with Daniel; Mechanical meeting; Mechanical meeting with Daniel; Meeting; Programming script; Reverse engineering documentation; Specifications
CMS-EMU-UPGRADE-ME0,0,1.00,0,0,0,0,0,Firmware meeting
CMS-EMU-UPGRADE-GE21,0,1.00,1.00,0.50,2.00,0,0,Firmware; Firmware placement; Hog fixes
CMS-EMU-OPS-GE11,0.50,1.00,1.00,1.00,2.00,0,0,Cluster DAQ; Firmware; Firmware (timing); Firmware placement; Hog fixes
APOLLO,1.50,0,2.00,1.50,2.00,0,0,C2C wrapper generation; EDF Meeting; IPMC; IPMC Updates
ATLAS-MUON-PHASE2,2.00,1.00,0,1.00,0,0,0,BU Meeting; EE Meeting; Felix meeting; Hog fixes
CMS-EMU-OPS-CSC,0,0,0,0,3.00,0,0,ODMB Review
CMS-PIXEL-DTC,0,0,0.50,0,0,0,0,Meeting
,21,22,23,24,25,26,27,
CMS-ETL,0,0,3.00,4.00,4.00,0,0,Dataformats; ETROC firmware; Emulator version control; Firmware update; Meeting; Schedule; test stand debug
CMS-EMU-UPGRADE-GE21,0,0,2.00,1.00,0,0,0,DDR s-bits; ISERDES placement
CMS-EMU-OPS-GE11,0,0,0,2.50,0,0,0,MGT loopback
APOLLO,0,5.00,1.00,3.00,3.00,0,0,IPMC Firmware update; IPMC dongle; IPMC firmware test; IPMC firmware update / test; Rev2a debug; shipping
VAC,8.00,0,0,0,0,0,0,Vacation
CMS-PIXEL-DTC,0,0,0.50,0,0,0,0,Meeting
,28,29,30,31,1*,2*,3*,
CMS-ETL,4.50,0.50,1.50,1.00,7.00,0,0,Firmware; MT Schematic; Meet with Indara; Meeting; So Young; slides
CMS-EMU-UPGRADE-ME0,0,1.00,0,0,0,0,0,Accruals; Chloe
CMS-EMU-OPS-GE11,0,0.50,0,0,0,0,0,Loopback firmware
ADMIN,0,1.00,0,0,0,0,0,Meet with Panos
APOLLO,0,2.50,1.00,4.00,0,0,0,AXI Regmap; IPMC; IPMC Meeting; Rev 1 Repair; SM Gerbers
ATLAS-MUON-PHASE2,1.00,1.50,5.50,1.50,0,0,0,Meeting; Repository; Thiago visit; Update project generator
CMS-EMU-OPS-CSC,0,1.00,0,0,0,0,0,ODMB Review

