D,Time,Project,Task,Day,Hours
3,9:30-10,APOLLO,Panos,MON,0.5
3,10-11,ME0BE,Meeting,MON,1.0
3,11-12:30,CSC,TMB+ Meeting,MON,1.5
3,12:30-1,ETL,Meeting,MON,0.5
3,1-1:30,L0MDT,Meeting,MON,0.5
3,2:30-4,--,Chiropractor,MON,1.5
3,4-4:30,GE21,Reporting,MON,0.5
3,4:30-5,ME0,Reporting,MON,0.5
,,,,,
4,9-10,ETL,BV connector,TUE,1.0
4,10-10:30,L0MDT,Hog,TUE,0.5
4,10:30-11,ETL,Hog,TUE,0.5
4,12-1,ETL,RB review,TUE,1.0
4,1-2,ME0SF,Meeting,TUE,1.0
4,2-3,--,Physical therapy,TUE,1.0
4,4-5,ETL,RB review,TUE,1.0
,,,,,
5,10-12,ETL,Meeting,WED,2.0
5,1-2,ME0OH,Meeting,WED,1.0
5,3-3:30,CSC,TMB+,WED,0.5
5,2-3,APOLLO,lpGBT,WED,1.0
,,,,,
6,9-5,VAC,Maine,THU,8.0
,,,,,
7,9-5,VAC,Maine,FRI,8.0
,,,,,
10,9-5,VAC,Maine,MON,8.0
,,,,,
11,9-5,VAC,Maine,TUE,8.0
,,,,,
12,9-9:30,ADMIN,Email,WED,0.5
12,9:30-10,ME0,CI,WED,0.5
12,10-10:30,GE21,Cluster finder,WED,0.5
12,10:30-11,GE11,Cluster finder,WED,0.5
12,11-11:30,ME0,Cluster finder,WED,0.5
12,11:30-12:30,APOLLO,Panos,WED,1.0
12,12:30-2,APOLLO,Alp,WED,1.5
12,2-4,ETL,Emulator fw,WED,2.0
12,12-2,GE21,Cluster finder,WED,2.0
12,2-4,GE11,Cluster finder,WED,2.0
,,,,,
13,8-9,CSC,TMB+,THU,1.0
13,9-11,ETL,Diego,THU,2.0
13,11-12,ME0,Jade,THU,1.0
13,12-2,GE21,Cluster finder,THU,2.0
13,2-3,GE11,Cluster finder,THU,1.0
,,,,,
14,9-11,GE21,Cluster finder,FRI,2.0
14,11-1,GE11,Cluster finder,FRI,2.0
14,1-1:30,ETL,Power board,FRI,0.5
14,2-4,ETL,RB,FRI,2.0
14,4-5,GE11,Latency optimization,FRI,1.0
18,1:30-2,APOLLO,OpenIPMC,TUE,0.5
,,,,,
,,,,,
17,9-10,ADMIN,Email,MON,1.0
17,10-11,CSC,TMB+,MON,1.0
17,11-1,ETL,RB,MON,2.0
17,1-1:30,L0MDT,Meeting,MON,0.5
17,1:30-2,ADMIN,Meet w/ Eric,MON,0.5
17,2-3,ETL,RB Layout,MON,1.0
17,3-4,ADMIN,Meet w/ Ed,MON,1.0
,,,,,
18,8-8:30,CSC,TMB+,TUE,0.5
18,8:30-9,L0MDT,Hog updates,TUE,0.5
18,9-9:30,GE21,Hog updates,TUE,0.5
18,10-11,ETL,RB Layout,TUE,1.0
18,11-11:30,ADMIN,Andrei,TUE,0.5
18,11:30-12,APOLLO,OpenIPMC,TUE,0.5
18,12-1:00,ETL,Parts request,TUE,1.0
18,1-1:30,ETL,Parts request,TUE,0.5
18,1:30-2,ETL,Breakout board,TUE,0.5
,,,,,
19,9-1,ETL,Meeting; BV; RB,WED,4.0
19,1-2:30,ME0OH,Queso,WED,1.5
19,2:30-3:30,ADMIN,Meeting,WED,1.0
19,3:30-5:30,SICK,Doctors appt,WED,2.0
,,,,,
20,9-2,ETL,RB,THU,5.0
,,,,,
21,9-3,ETL,RB,FRI,6.0
,,,,,
,,,,,
24,10-10:30,ME0BE,Meeting,MON,0.5
24,9-10,ETL,Slides,MON,1.0
24,10:30-1,ETL,Meeting,MON,2.5
24,1-4,ETL,Meeting atc,MON,3.0
,,,,,
25,9-1,ETL,"RB BOM, NIM adapter",TUE,4.0
25,1-2,ME0SF,Abhisek,TUE,1.0
25,2-3,ETL,RB BOM,TUE,1.0
,,,,,
26,9-12,ETL,Meeting,WED,3.0
26,12:30-1,ETL,RB Layout,WED,0.5
26,1-2,ME0OH,Firmware meeting,WED,1.0
26,2-3,ETL,Firmware,WED,1.0
,,,,,
27,9-10,ETL,RB,THU,1.0
27,10-11,L0MDT,Meeting,THU,1.0
27,11-11:30,ETL,RB,THU,0.5
27,11:30-12,ADMIN,EDF Meeting,THU,0.5
27,12-2,ETL,RB,THU,2.0
27,2-4,SICK,Doctor,THU,2.0
,,,,,
28,9-1,ETL,Firmware; RB,FRI,4.0
28,1-1:30,--,Lunch,FRI,0.5
28,1:30-3:30,ETL,Firmware; RB,FRI,2.0
,,,,,
,,,,,
31,9-10,ADMIN,EDF chat,MON,1.0
31,10-1,ETL,Firmware,MON,6.0
31,1-2,L0MDT,Meeting,MON,1.0
31,2-3,ETL,Firmware,MON,1.0
,,,,,

