D,Time,Project,Task,Day,Hours
1,9-12,GE21,OH Firmware,THU,3.0
1,12-2,GE11,OH Firmware,THU,2.0
1,2-3,ETL,RB,THU,1.0
,,,,,
2,9-10,ETL,RB,FRI,1.0
2,10-12,GE21,CVP13,FRI,2.0
2,12-2,GE11,CVP13,FRI,2.0
2,2-4,ME0,CVP13,FRI,2.0
,,,,,
,,,,,
5,9-10,GE21,OH Firmware,MON,1.0
5,10-11,ME0,Meeting,MON,1.0
5,12-4,ETL,Bias voltage,MON,4.0
5,4-5,GE11,OH Firmware,MON,1.0
,,,,,
6,10-11,ETL,Firmware,TUE,1.0
6,11-1:30,GE21,CVP13,TUE,2.5
6,1:30-4,ME0,CVP13,TUE,2.5
6,4-5,GE11,CVP13,TUE,1.0
,,,,,
7,9-12,ME0,CVP13 Setup,WED,3.0
7,12-2,GE21,OH Firmware,WED,2.0
7,2-4,GE11,OH Firmware,WED,2.0
,,,,,
8,9-5,--,FMLA,THU,8.0
,,,,,
9,9-12,ME0,CVP13 Setup,FRI,3.0
9,12-2,GE21,OH Firmware,FRI,2.0
9,2-3,GE11,OH Firmware,FRI,1.0
9,3-5,ETL,Firmware,FRI,2.0
,,,,,
,,,,,
12,9-12,ME0,CVP13 Setup,MON,3.0
12,12-2,GE21,OH Firmware,MON,2.0
12,2-4,GE11,OH Firmware,MON,2.0
12,4-5,ETL,Meeting,MON,1.0
,,,,,
13,10-11,ETL,Hog,TUE,1.0
13,9-10,--,FMLA,TUE,1.0
13,11-5,--,FMLA,TUE,6.0
,,,,,
14,11-12:30,L0MDT,HAL meeting,WED,1.5
14,1-2,ME0,Meeting,WED,1.0
14,2-5,SICK,COVID,WED,3.0
,,,,,
15,9-5,SICK,COVID,THU,8.0
,,,,,
16,9-5,SICK,COVID,FRI,8.0
,,,,,
,,,,,
19,9-5,SICK,COVID,MON,8.0
,,,,,
20,9-5,--,FMLA,TUE,8.0
20,10-11,ETL,Module,TUE,1.0
20,11-12:30,ETL,TIP Meeting,TUE,1.5
,,,,,
21,9-5,SICK,Covid,WED,8.0
,,,,,
22,9-5,--,FMLA,THU,8.0
,,,,,
23,9-5,SICK,Covid,FRI,8.0
,,,,,
,,,,,
26,9-5,HOLIDAY,Christmas,MON,8.0
,,,,,
27,9-5,--,Christmas,TUE,8.0
,,,,,
28,9-5,HOLIDAY,Christmas,WED,8.0
,,,,,
29,9-5,--,Christmas,THU,8.0
,,,,,
30,9-11,ETL,Hog,FRI,2.0
30,11-12,ME0,Hog,FRI,1.0
30,12-1,GE21,Hog,FRI,1.0
30,1-2,GE11,Hog,FRI,1.0
30,2-4,L0MDT,Hog,FRI,2.0
,,,,,

