2022-11,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,31*,1,2,3,4,5,6,
CMS-ETL,7.00,7.50,6.00,0,5.00,0,0,BV; Firmware; Meeting; RB Firmware; Slides
ATLAS-MUON-PHASE2,1.00,0,0,0,0,0,0,Meeting
ADMIN,1.00,0.50,0,0,0,0,0,EDF chat
APOLLO,0,0,1.00,0,0,0,0,IPMC Debug
SICK,0,0,0,8.00,0,0,0,Sick
CMS-EMU-UPGRADE-ME0,0,0,0,0,1.00,0,0,Meeting
,7,8,9,10,11,12,13,
CMS-ETL,2.50,0,3.00,6.00,0,0,0,DAQ; Firmware; Meeting; RB; Software
APOLLO,0,0,0,1.00,0,0,0,IPMC
CMS-EMU-UPGRADE-ME0,1.00,0,1.00,0,0,0,0,Meeting
ATLAS-MUON-PHASE2,1.00,0,0,0,0,0,0,Meeting
HOLIDAY,0,0,0,0,8.00,0,0,Veterans day
,14,15,16,17,18,19,20,
CMS-ETL,5.00,1.00,4.00,4.50,6.00,0,0,Firmware; Meeting; RB; SW; Slides; Software
ADMIN,0,0.50,1.00,0,0,0,0,EDF Meeting
APOLLO,0,0,1.00,0,1.00,0,0,IPMC
SICK,0,0,0,1.50,0,0,0,Doctors visit
CMS-EMU-UPGRADE-ME0,1.00,0,0,0,0,0,0,Meeting
DEVEL,0,0,0,1.00,0,0,0,Seminar
,21,22,23,24,25,26,27,
CMS-ETL,6.00,3.50,0,0,0,0,0,Firmware; Module; RB
SICK,0,1.50,0,0,0,0,0,Doctors appt
CMS-EMU-UPGRADE-ME0,0,1.00,0,0,0,0,0,Backend
HOLIDAY,0,0,8.00,8.00,8.00,0,0,Thanksgiving
CMS-EMU-UPGRADE-GE21,0,1.00,0,0,0,0,0,Optohybrid
,28,29,30,1*,2*,3*,4*,
CMS-ETL,1.50,1.50,0.50,1.00,1.00,0,0,BV; Meeting; RB
APOLLO,0,1.50,0,0,0,0,0,Gitlab CI setup
CMS-EMU-UPGRADE-ME0,4.00,2.50,1.50,0,2.00,0,0,Backend; CVP13; Firmware integration; Meeting; Slides; Workshop
ATLAS-MUON-PHASE2,0.50,0,0,0,0,0,0,Meeting
CMS-EMU-UPGRADE-GE21,0,1.00,3.00,3.00,2.00,0,0,CVP13; OH Firmware; Optohybrid
CMS-EMU-OPS-GE11,0,0,2.00,2.00,2.00,0,0,CVP13; OH Firmware

