2021-10,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,27*,28*,29*,30*,1,2,3,
CMS-EMU-OPS-CSC,0.50,0,0,0,0,0,0,Email to Karunesh
ADMIN,0,0.50,0,0,1.00,0,0,Billing; EDF Meeting
ATLAS-MUON-PHASE2,2.50,1.50,6.00,3.00,0,0,0,EE Meeting; GBT-IC firmware updates; GBT-IC firwmare updates; LpGBT Firmware; LpGBT/VTRX+ User Group (1/3); Meeting; Monthly report; Start tweaks to CSM decoding; Work on CSM testbench
CMS-EMU-OPS-GE11,0,1.00,0,0,0.50,0,0,Reduce latency; USCMS Firmware Meeting
CMS-EMU-UPGRADE-ME0,1.50,1.50,0.50,1.00,0,0,0,Chloe; LpGBT/VTRX+ User Group (1/3); Meet with Indara; Meeting; Testbench
CMS-ETL,2.50,1.50,0,3.50,3.50,0,0,Annual review; Grounding; Grounding meeting; Integration Meeting; LpGBT v1 Firmware; LpGBT/VTRX+ User Group (1/3); Meeting; Review slides
APOLLO,0,0,0,1.00,0,0,0,IPMC Meeting
CMS-PIXEL-DTC,0,0,1.00,0,1.00,0,0,Meeting
CMS-EMU-UPGRADE-GE21,0,1.00,0.50,0,1.50,0,0,Meet with Indara; Reduce latency; USCMS Firmware Meeting
,4,5,6,7,8,9,10,
CMS-ETL,1.00,4.00,0,0,0,0,0,FIFO Updates; Integration meeting; Mechanical chat w/ Daniel; Work w/ Daniel
CMS-EMU-UPGRADE-GE21,0.50,0,0,0,0,0,0,DOE Report
ATLAS-MUON-PHASE2,4.00,1.00,0,0,0,0,0,CM Spec Review; Emails
CMS-EMU-UPGRADE-ME0,1.00,1.00,0,0,0,0,0,Meeting; Testbench updates/debug
DEVEL,0,1.00,0,0,0,0,0,Twepp
VAC,0,0,8.00,8.00,8.00,0,0,Vacation
,11,12,13,14,15,16,17,
CMS-PIXEL-DTC,0,0,1.00,0.50,0.50,0,0,IPMC Meeting; Meeting
CMS-ETL,0,0,2.00,2.00,1.00,0,0,Grounding; Meet w/ Daniel; Meeting; RB Tester
CMS-EMU-UPGRADE-GE21,0,0,0.50,0,0,0,0,Meeting
ADMIN,0,0,1.50,0,0,0,0,EDF Meeting; Email catchup
ATLAS-MUON-PHASE2,0,0,1.00,4.00,2.50,0,0,DAQ Updates; Firmware; Firmware update; Meet with Adam; Meeting
CMS-EMU-UPGRADE-ME0,0,0,0.50,0,2.00,0,0,Chloe; Meeting
VAC,8.00,8.00,0,0,0,0,0,Vacation
APOLLO,0,0,1.00,0,1.00,0,0,IPMC; IPMC Firmware Update
,18,19,20,21,22,23,24,
CMS-PIXEL-DTC,0,0,1.00,0,1.00,0,0,Meeting
CMS-ETL,0,0,1.50,0.50,0,0,0,Meeting; talk with Daniel
ATLAS-MUON-PHASE2,0,4.00,6.00,5.00,4.50,0,0,Daq integration; Firmware; Firmware updates; Meeting; firmware updates
CMS-EMU-UPGRADE-ME0,0,0,0,1.00,0,0,0,Meeting
APOLLO,0,0,0,0.50,1.50,0,0,IPMC Meeting; Meet with Dan
SICK,8.00,4.00,0,0,0,0,0,Cold
,25,26,27,28,29,30,31,
CMS-PIXEL-DTC,0,0,0,0,1.00,0,0,Meeting
CMS-ETL,2.00,3.00,1.50,0,2.00,0,0,Meet w/ Daniel; Meeting; Meetings; Work w/ Daniel
CMS-EMU-UPGRADE-GE21,0,0,1.00,0.50,0,0,0,Fusing review; OH Review Comments
ADMIN,0.50,0,0.50,0,0,0,0,EDF Meeting; Winterize my office
ATLAS-MUON-PHASE2,3.50,2.00,2.50,5.00,3.00,0,0,Firmware; Meeting
CMS-EMU-UPGRADE-ME0,1.00,4.00,2.00,2.00,1.00,0,0,Chloe; Meeting; Multiplier integration; Multiplier testing; Slope multiplier; Write pipelined multiplier
APOLLO,1.00,0,0,0.50,0.50,0,0,Chat with Dan; Meet with Dan; Regmap updates

