D,Time,Project,Task,Day,Hours
1,9-11,ETL,NIM,WED,2.0
1,11-12:30,ETL,Meeting,WED,1.5
1,1-2,ME0,Meeting,WED,1.0
1,2-3,APOLLO,PiJTAG,WED,1.0
1,3-3:30,CSC,TMB2025,WED,0.5
1,3:30-4,ADMIN,EDF Chat,WED,0.5
,,,,,
2,10-10:30,GE21,Meeting,THU,0.5
2,10:30-11,ME0,Meeting,THU,0.5
2,11-12:30,ETL,RBv2,THU,1.5
2,12:30-1:30,ETL,RBv2; Module,THU,1.0
,,,,,
3,10-11,CSC,FED meeting,FRI,1.0
3,11-12,ETL,Panos,FRI,1.0
3,12-1,ETL,Meet Naomi,FRI,1.0
3,1-1:30,ETL,Grp meeting,FRI,0.5
3,1:30-2,GE21,Grp meeting,FRI,0.5
,,,,,
,,,,,
6,8:30-12,ETL,Meeting,MON,3.5
6,1-1:30,L0MDT,Meeting,MON,0.5
,,,,,
7,9-10,ADMIN,Flood remediation,TUE,1.0
7,10-10:30,ME0,Hog,TUE,0.5
7,10:30-11,GE21,Hog,TUE,0.5
7,11-12:30,ADMIN,Flood remediation,TUE,1.5
,,,,,
8,9-10,ADMIN,EDF Meeting,WED,1.0
8,11-12:30,ETL,Meeting,WED,1.5
8,12:30-1,ETL,RB,WED,0.5
8,1-2:30,ME0,Meeting,WED,1.5
8,2:30-3:30,ADMIN,Flood remediation,WED,1.0
8,3:30-4:30,ETL,RB,WED,1.0
,,,,,
9,10:30-11,ME0SF,ME0SF,THU,0.5
9,11-12,ETL,RB,THU,1.0
9,12-3:30,ME0SF,ME0SF,THU,3.5
,,,,,
10,9-11,ETL,Emulator testing,FRI,2.0
10,11-12,ME0SF,ME0SF,FRI,1.0
10,12-1,--,EDF Lunch,FRI,1.0
10,1-2,ETL,Emulator testing,FRI,1.0
10,2-2:30,ME0SF,ME0SF,FRI,0.5
,,,,,
,,,,,
13,9-10:30,ADMIN,BU Network Issues,MON,1.5
13,10:30-12:30,ME0SF,ME0SF,MON,2.0
13,12:30-1,--,LUNCH,MON,0.5
13,1-1:30,L0MDT,Meeting,MON,0.5
13,1:30-2,ME0SF,ME0SF,MON,0.5
,,,,,
14,9-11,ME0SF,ME0SF,TUE,2.0
14,11-12,ETL,Module PCB,TUE,1.0
14,12-1,ETL,Naomi,TUE,1.0
,,,,,
15,11-12,ETL,Meeting,WED,1.0
15,1-2,ME0,Meeting,WED,1.0
15,5-6:30,ETL,RB,WED,1.5
,,,,,
16,9:30-10,ADMIN,EDF Meeting; Billing,THU,0.5
16,10-10:30,GE21,Strip mapping,THU,0.5
16,10:30-11:30,ETL,Module PCB,THU,1.0
16,11:30-12,ETL,Module PCB,THU,0.5
16,12:30-1:45,ETL,Module PCB; RB SW,THU,1.25
,,,,,
17,10-11,L0MDT,Meet with Guillermo,FRI,1.0
17,11-11:30,L0MDT,HAL,FRI,0.5
17,11:30-12:30,ETL,Software,FRI,1.0
17,12:30-1,ETL,Module PCB,FRI,0.5
17,1-1:30,--,LUNCH,FRI,0.5
17,1:30-2:30,ETL,Meeting,FRI,1.0
17,2:30-3,ME0,Meeting,FRI,0.5
,,,,,
,,,,,
20,9-2,HOLIDAY,President\'s day,MON,5.0
,,,,,
21,9:15-10,ETL,Module PCB,TUE,0.75
21,10-10:30,ADMIN,EDF Meeting,TUE,0.5
21,10:30-11,L0MDT,Guillermo,TUE,0.5
21,11-11:45,ME0,ME0SF,TUE,0.75
21,11:45-12:30,ME0,ME0SF,TUE,0.75
21,12:30-2,ETL,Module PCB APC,TUE,1.5
21,4-5:30,GE21,Channel mapping,TUE,1.5
,,,,,
22,9-10,ETL,Module PCB APC,WED,1.0
22,10-11,ME0SF,ME0SF,WED,1.0
22,11-12,ETL,Meeting,WED,1.0
22,12-1,ME0SF,ME0SF,WED,1.0
22,1-2,ME0OH,Meeting,WED,1.0
,,,,,
23,10-12,ME0SF,ME0SF,THU,2.0
23,12-2,ETL,Module PCB,THU,2.0
23,2-3,ETL,Module PCB,THU,1.0
23,3-3:30,ME0SF,ME0SF,THU,0.5
,,,,,
24,9-10,GE21,Channel mapping,FRI,1.0
24,10:30-11,ME0SF,ME0SF,FRI,0.5
24,11-11:30,ETL,Module PCB,FRI,0.5
24,11:30-1,--,Lunch w/ Eric,FRI,1.5
24,1-2,ETL,Meeting,FRI,1.0
24,2-2:30,ADMIN,EDF Meeting,FRI,0.5
,,,,,
26,12-12:30,ETL,Naomi,SUN,0.5
,,,,,
,,,,,
,,,,,

