2022-06,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,30*,31*,1,2,3,4,5,
ADMIN,0,0.50,0.50,0,0,0,0,Email cleanup; Talk to Dan
CMS-ETL,0,5.00,5.50,3.00,6.00,0,0,Meeting; Module PCB; Module questions; Module tester; mounting scheme
HOLIDAY,8.00,0,0,0,0,0,0,Memorial Day
SICK,0,0,1.00,0,0,0,0,Physical therapist
CMS-EMU-UPGRADE-ME0,0,0,1.50,1.00,1.50,0,0,Meet w/ Jade; Meet with students; Meeting
CMS-EMU-OPS-GE11,0,0,0,1.00,0,0,0,Duplicate clusters
ATLAS-MUON-PHASE2,0,0,0,2.00,0,0,0,Meeting; Requirements doc; Talk with Eric
APOLLO,0,0,0,0.75,0,0,0,IPMC Meeting
,6,7,8,9,10,11,12,
ADMIN,0,1.50,0,0,0,0,0,Meet w/ Ed
CMS-ETL,3.00,3.50,3.00,4.00,4.00,0,0,Firmware; Meeting; Mike M; Module PCB; So young; Software
CMS-EMU-UPGRADE-ME0,0,1.00,1.50,0,0,0,0,Jade; Meeting
CMS-EMU-OPS-GE11,0,3.00,0,2.00,1.00,0,0,Cluster finding
ATLAS-MUON-PHASE2,5.00,0,0,1.00,1.00,0,0,Meeting; Meeting (off-cycle); Verena + Stephane
APOLLO,0,0,2.50,0,0,0,0,IPMC
CMS-EMU-UPGRADE-GE21,0,2.50,0,1.00,1.00,0,0,Cluster finding
,13,14,15,16,17,18,19,
ADMIN,0.50,0,0,1.50,0,0,0,Computer issues; Email
CMS-ETL,5.00,3.00,2.75,2.50,1.50,0,0,BV connector; Firmware; Meeting; So Young; System test meeting; Work w/ Daniel
CMS-EMU-UPGRADE-ME0,0,1.50,0.50,0,0,0,0,Jade; Meeting
APOLLO,0,0,4.00,1.00,0,0,0,IPMC Debug; IPMC Updates; IPMC Updates / DHCP
CMS-EMU-UPGRADE-GE21,0,0.50,1.00,0,0,0,0,Firmware
HOLIDAY,0,0,0,0,8.00,0,0,Juneteenth
,20,21,22,23,24,25,26,
ADMIN,1.00,0,1.00,0,0,0,0,Billing; EDF Meeting; Email; Meet w/ Eric
CMS-ETL,2.00,2.50,6.00,2.50,2.00,0,0,BV connector; Daniel; Emulator; Jade; MT schematic; Meeting; So Young
CMS-EMU-UPGRADE-ME0,0,1.50,0,1.50,0,0,0,Jade; Meeting
CMS-EMU-OPS-GE11,0,0.50,0,0,0,0,0,Cluster finding
ATLAS-MUON-PHASE2,1.00,0,0,1.00,3.00,0,0,CSM review; Meeting
APOLLO,1.50,0,0,1.00,1.00,0,0,IPMC; IPMC Updates; IPMC updates
,27,28,29,30,1*,2*,3*,
ADMIN,1.00,0,0,0,0,0,0,Chat w/ Eric
CMS-ETL,3.00,1.50,0,3.00,0,0,0,BV connector; DDMTD w/ Daniel; HPTD Meeting; Hog meeting; Meeting; Workshop prep
CMS-EMU-UPGRADE-ME0,0,1.00,0,1.00,0,0,0,FW meeting; Meeting
CMS-EMU-OPS-GE11,0,0,0,0.50,0,0,0,Trigger primitives
ATLAS-MUON-PHASE2,2.00,1.50,0,1.00,2.50,0,0,CSM chat w/ Eric; CSM review; Hog meeting; Meeting; Monthly summary
CMS-EMU-UPGRADE-GE21,0,0,0,0.50,0,0,0,Firmware Repository
VAC,0,0,8.00,0,8.00,0,0,Day off; July 4th vacation

