2022-09,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,29*,30*,31*,1,2,3,4,
ADMIN,2.00,3.50,2.00,0,0,0,0,EDF Chat; EDF Meeting; Email; Meet w/ Eric; Meet w/ Grace
CMS-ETL,3.50,1.00,4.00,3.50,0,0,0,Indara; MUX64; Meeting; RB
CMS-EMU-UPGRADE-GE21,0,2.00,0,0,0,0,0,Plugin card
ATLAS-MUON-PHASE2,1.00,0,0,0,0,0,0,Meeting
VAC,0,0,0,0,8.00,0,0,Katherine move
,5,6,7,8,9,10,11,
CMS-ETL,0,0,1.00,4.00,5.00,0,0,Chloe; DAQ meeting; Daniel; Firmware; Meeting; RB; Test stand
VAC,0,4.00,3.00,0,0,0,0,Car breakdown; Katherine move
HOLIDAY,8.00,0,0,0,0,0,0,Labour day
ATLAS-MUON-PHASE2,0,3.00,0,1.00,0,0,0,Meeting; Thiago visit
CMS-EMU-UPGRADE-ME0,0,0,1.00,2.00,0,0,0,Slides; Workshop
APOLLO,0,0,0,2.00,0,0,0,IPMC Meeting
,12,13,14,15,16,17,18,
CMS-ETL,0,2.00,4.00,1.50,4.00,0,0,Computer setup; Emulator; Firmware updates; Meeting; Update specs
ATLAS-MUON-PHASE2,1.00,0,0,1.00,0,0,0,Meeting
CMS-EMU-UPGRADE-ME0,0,3.00,2.00,1.00,1.00,0,0,Meeting; SF integration
CMS-EMU-OPS-GE11,2.00,1.00,0,0,0,0,0,OH S-bit delay; OH VFAT Masking
CMS-EMU-UPGRADE-GE21,2.00,1.00,0,0,0,0,0,OH S-bit delay; OH VFAT Masking
SICK,3.00,0,0.50,4.00,0,0,0,Back pain; Dr. Appt; PT
ADMIN,0,0,0,0,1.00,0,0,EDF Lunch
,19,20,21,22,23,24,25,
CMS-ETL,0,0.50,0,3.00,4.00,0,0,CMS Week; Documentation; Hog meeting; RB firmware
ATLAS-MUON-PHASE2,0.50,0.50,1.00,0,0,0,0,CSM; CSM Review; Hog meeting
CMS-EMU-UPGRADE-ME0,2.00,0.50,1.50,0,0,0,0,Plugin-card pinout; SF integration
APOLLO,0.50,0.50,0,0,0,0,0,CPLD Build; IPMC
CMS-EMU-UPGRADE-GE21,0,0.50,0,0,0,0,0,Hog meeting
SICK,1.00,0,0,0,0,0,0,Doctor
ADMIN,0.50,0,0,0,0,0,0,Meet w/ Eric
,26,27,28,29,30,1*,2*,
CMS-ETL,3.00,5.00,6.00,4.50,2.00,0,0,Firmware; Integration meeting; Meet with Daniel; Meeting; RB firmware; meeting
ATLAS-MUON-PHASE2,1.00,0,0,1.00,0,0,0,Meeting
CMS-EMU-UPGRADE-ME0,0,0,0,1.00,0.50,0,0,OH Meeting; Reporting
APOLLO,0,0,0,1.00,0,0,0,Meet with Alp
CMS-EMU-OPS-GE11,0,0,1.00,0,0,0,0,OH firmware
CMS-EMU-UPGRADE-GE21,0,0,1.00,0,0.50,0,0,OH firmware; Reporting
ADMIN,0,0,0,0,1.00,0,0,EDF Meeting

