2023-01,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,26*,27*,28*,29*,30*,31*,1,
,2,3,4,5,6,7,8,
HOLIDAY,8.00,0,0,0,0,0,0,New years
CMS-EMU-UPGRADE-ME0,0,1.00,1.00,2.00,0,0,0,Firmware Meeting; OH tester; Teststand
ADMIN,0,1.00,0,0,1.00,0,0,EDF Meeting; Meeting
CMS-ETL,0,2.50,2.00,0,2.00,0,0,3D Printer; ETROC Card; Panos; Readout board
CMS-EMU-UPGRADE-GE21,0,0,0,2.00,1.00,0,0,OH Slow control; Teststand
CMS-EMU-OPS-GE11,0,0,0,2.00,1.00,0,0,OH Slow control; Teststand
CMS-EMU-OPS-CSC,0,0,0,0,1.00,0,0,Electronics mtg
,9,10,11,12,13,14,15,
CMS-EMU-UPGRADE-ME0,0,0,1.00,0,0,0,0,OH Meeting
ADMIN,1.00,0,0,1.00,0,0,0,Administrative details; EDF Meeting
CMS-ETL,2.00,1.00,1.50,1.00,0,0,0,Emulator adapter; Hog; Module design; Tamalero setup help
CMS-EMU-UPGRADE-GE21,1.00,0.50,2.00,2.00,0,0,0,Firmware; Hog; OH Firmware; OH Link
CMS-EMU-OPS-GE11,1.00,1.50,2.00,2.00,0,0,0,Firmware; Hog; OH Firmware; OH Link
CMS-EMU-OPS-CSC,0,0,0,0,2.50,0,0,Upgrade mtg
ATLAS-MUON-PHASE2,1.00,2.00,0,1.00,0,0,0,CSM Setup; Hog; Meeting
,16,17,18,19,20,21,22,
HOLIDAY,6.00,0,0,0,0,0,0,Labor Day
ADMIN,0,0,0,0,1.00,0,0,EDF Lunch
CMS-ETL,0,0,0,3.00,7.50,0,0,Emulator; Hog; Module; RBv2
CMS-EMU-UPGRADE-GE21,0,0,0.50,0,0,0,0,Hog
CMS-EMU-OPS-GE11,0,0,0.50,0.50,0,0,0,GEM/CSC; Hog
ATLAS-MUON-PHASE2,0,0,0,1.00,0,0,0,Hog
SICK,0,6.00,0,0,0,0,0,Booboo
,23,24,25,26,27,28,29,
CMS-EMU-UPGRADE-ME0,0.50,0.50,1.00,0.50,0,0,0,Firmware meeting; Hog; Meeting; USCMS
CMS-ETL,4.50,5.50,5.00,4.00,3.00,0,0,DAQ; Module meeting; RB; RBv2
CMS-EMU-UPGRADE-GE21,0,0,0,0.50,0,0,0,USCMS
CMS-EMU-OPS-CSC,0.50,0,0,0,0,0,0,TMB++
ATLAS-MUON-PHASE2,0.50,0.50,0.50,0,0,0,0,Hog; Meet w/ Adam; Meeting
,30,31,1*,2*,3*,4*,5*,
CMS-EMU-UPGRADE-ME0,1.50,0.50,1.00,0.50,0,0,0,Meeting; Schedule; USCMS
ADMIN,0,0.50,0.50,0,0,0,0,EDF Chat; EDF meeting
CMS-ETL,3.00,5.00,3.50,2.50,2.50,0,0,DAQ; Grp meeting; Meet Naomi; Meeting; Module; NIM; Panos; RB; RBv2
CMS-EMU-UPGRADE-GE21,0,0.50,0,0.50,0.50,0,0,Grp meeting; Meeting; USCMS
ATLAS-MUON-PHASE2,0.50,0,0,0,0,0,0,Meeting
APOLLO,0,0,1.00,0,0,0,0,PiJTAG
CMS-EMU-OPS-CSC,0,0,0.50,0,1.00,0,0,FED meeting; TMB2025

