2021-08,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,26*,27*,28*,29*,30*,31*,1,
ATLAS-MUON-PHASE2,2.50,0,2.00,1.00,0,0,0,Meeting; Regmap software; TDC Review
APOLLO,1.50,3.00,0,1.00,4.00,0,0,Regmap software; SM PCB review
CMS-EMU-OPS-GE11,0.50,0,0.50,0,0,0,0,Repository maintenance; Repository updates
CMS-EMU-UPGRADE-ME0,0,2.00,0.50,1.00,1.50,0,0,Chloe; Meeting; Repository updates
CMS-PIXEL-DTC,0,0,1.00,0,1.00,0,0,Meeting
CMS-ETL,2.00,1.00,2.00,4.50,1.50,0,0,Meeting; Power adapter assembly; Power adapter assembly+test; Readout board; SW debugging; Work in lab
ADMIN,1.00,0,0,0,0,0,0,EDF Meeting
EMPHATIC,0,1.00,0,0,0,0,0,PCB Import Testing
CMS-EMU-UPGRADE-GE21,0.50,0,0.50,0,0,0,0,Repository maintenance; Repository updates
,2,3,4,5,6,7,8,
APOLLO,3.00,0,0,0,2.00,0,0,IPMC; Regmap
ATLAS-MUON-PHASE2,2.00,0,2.50,6.00,3.00,0,0,Firmware updates; Meeting; Regmap update
CMS-ETL,2.50,7.00,4.00,2.00,0,0,0,Daniel; Link format; Managers; Meeting; Readout board schematic; SW debugging; Slides; Talk with Eric; firmware updates
CMS-EMU-UPGRADE-ME0,0,1.00,1.50,0,1.00,0,0,Chloe; Meeting; Review responses; Schematic updates
CMS-PIXEL-DTC,0,0,1.00,0,0,0,0,Meeting
EMPHATIC,0,0,0,0.50,0,0,0,Talk with Eric
,9,10,11,12,13,14,15,
APOLLO,0,1.50,1.00,0,0.50,0,0,IPMC; IPMC Firmware updates; Power outage
ATLAS-MUON-PHASE2,6.50,2.50,1.50,2.50,0,0,0,Firmware; Firmware issues; Firmware updates; meetings
CMS-ETL,0,4.50,2.50,2.50,2.50,0,0,Board testing; Daniel; KCU Setup; RB Testing; RB testing; Slides; Slides w/ Chris+Daniel; Tejasava; meeting
CMS-EMU-UPGRADE-ME0,0,1.50,0,2.50,0.50,0,0,Chat w/ UCLA; Chloe; Meeting
CMS-PIXEL-DTC,0,0,1.00,0,1.00,0,0,Firmware updates; Meeting
EMPHATIC,0,0.50,0,0,0,0,0,Tejasava
CMS-EMU-UPGRADE-GE21,0.50,0,0,0,1.00,0,0,Gitlab repo; Metadata format
CMS-EMU-OPS-GE11,0.50,0,0,0,1.00,0,0,Gitlab repo; Metadata format
,16,17,18,19,20,21,22,
APOLLO,1.00,0,0,0,0,0,0,Chat w/ Dan
ATLAS-MUON-PHASE2,3.00,2.00,1.00,3.00,1.00,0,0,Firmware; Firmware updates; Hog updates; Meeting
CMS-ETL,3.00,1.00,3.00,0,4.00,0,0,Board debug; Connectors; Debug w/ Daniel; Firmware updates; Mechanics & connectors; Meeting; VTRX+ I2C Debug
CMS-EMU-UPGRADE-ME0,0,3.00,1.50,1.00,0,0,0,Apex/Hog issues; Firmware repo; Meeting
CMS-PIXEL-DTC,0,0,1.00,0,0,0,0,Meeting
CMS-EMU-UPGRADE-GE21,0,0,1.00,4.00,1.00,0,0,Apex/Hog issues; Firmware repo; Hog updates
CMS-EMU-OPS-GE11,0,3.00,0.50,0,1.00,0,0,Firmware repo; Hog updates; Latency optimization
CMS-EMU-OPS-CSC,0.50,0,0,0,0,0,0,Crate shipping
,23,24,25,26,27,28,29,
APOLLO,0,0,0,0,1.00,0,0,IPMC Meeting
ATLAS-MUON-PHASE2,0,0.50,6.00,1.00,1.00,0,0,Firmware; Firmware updates; Meeting slides; Monthly report; Repository debug
CMS-ETL,8.00,2.00,2.50,0,2.50,0,0,DAQ testing; Firmware; Firmware (DAQ+GBT-IC); Firmware updates/testing; Meeting; Meeting with Ted; Software work
CMS-EMU-UPGRADE-ME0,0,2.00,0,4.00,1.00,0,0,Chloe; Meeting; OH Layout Updates; Repository issues; Review
CMS-EMU-UPGRADE-GE21,0.50,1.50,0,0,0,0,0,Firmware; Repository issues
CMS-EMU-OPS-GE11,0.50,0,0,0,0,0,0,Firmware
ADMIN,0,0,0,1.00,0,0,0,Frank Talk
DEVEL,0,0,0,0,1.00,0,0,Scope demo
,30,31,1*,2*,3*,4*,5*,
ATLAS-MUON-PHASE2,1.50,0,0,1.50,1.00,0,0,Cocotb debug w/ priya; Firmware Merge; Gitlab review; Measure cable trays; Meeting
CMS-ETL,5.50,0,0,1.00,0,0,0,Firmware updates; Meeting; Modules and HV; Slides
VAC,0,8.00,8.00,0,0,0,0,Moving
CMS-EMU-OPS-CSC,0,0,1.00,0,0,0,0,ALCT Cables Meeting
ADMIN,0,0,0,0.50,0,0,0,Billing
CMS-EMU-OPS-GE11,0,0,0,1.00,0,0,0,Channel mapping
CMS-EMU-UPGRADE-ME0,0,0,0,2.00,0,0,0,Meeting; Schematic review
APOLLO,0,0,0,1.00,3.50,0,0,Documentation; IPMC; OpenIPMC Meeting + followup work
CMS-PIXEL-DTC,0,0,0,0,1.00,0,0,Meeting
DEVEL,0,0,0,0,2.00,0,0,Scope testing

