2022-12,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,28*,29*,30*,1,2,3,4,
CMS-ETL,1.50,1.50,0.50,1.00,1.00,0,0,BV; Meeting; RB
APOLLO,0,1.50,0,0,0,0,0,Gitlab CI setup
CMS-EMU-UPGRADE-ME0,4.00,2.50,1.50,0,2.00,0,0,Backend; CVP13; Firmware integration; Meeting; Slides; Workshop
ATLAS-MUON-PHASE2,0.50,0,0,0,0,0,0,Meeting
CMS-EMU-UPGRADE-GE21,0,1.00,3.00,3.00,2.00,0,0,CVP13; OH Firmware; Optohybrid
CMS-EMU-OPS-GE11,0,0,2.00,2.00,2.00,0,0,CVP13; OH Firmware
,5,6,7,8,9,10,11,
CMS-EMU-UPGRADE-GE21,1.00,2.50,2.00,0,2.00,0,0,CVP13; OH Firmware
CMS-EMU-OPS-GE11,1.00,1.00,2.00,0,1.00,0,0,CVP13; OH Firmware
CMS-ETL,4.00,1.00,0,0,2.00,0,0,Bias voltage; Firmware
CMS-EMU-UPGRADE-ME0,1.00,2.50,3.00,0,3.00,0,0,CVP13; CVP13 Setup; Meeting
,12,13,14,15,16,17,18,
CMS-EMU-UPGRADE-GE21,2.00,0,0,0,0,0,0,OH Firmware
CMS-EMU-OPS-GE11,2.00,0,0,0,0,0,0,OH Firmware
CMS-ETL,1.00,1.00,0,0,0,0,0,Hog; Meeting
CMS-EMU-UPGRADE-ME0,3.00,0,1.00,0,0,0,0,CVP13 Setup; Meeting
ATLAS-MUON-PHASE2,0,0,1.50,0,0,0,0,HAL meeting
SICK,0,0,3.00,8.00,8.00,0,0,COVID
,19,20,21,22,23,24,25,
CMS-ETL,0,2.50,0,0,0,0,0,Module; TIP Meeting
SICK,8.00,0,8.00,0,8.00,0,0,COVID; Covid
,26,27,28,29,30,31,1*,
CMS-EMU-UPGRADE-GE21,0,0,0,0,1.00,0,0,Hog
CMS-EMU-OPS-GE11,0,0,0,0,1.00,0,0,Hog
CMS-ETL,0,0,0,0,2.00,0,0,Hog
CMS-EMU-UPGRADE-ME0,0,0,0,0,1.00,0,0,Hog
ATLAS-MUON-PHASE2,0,0,0,0,2.00,0,0,Hog
HOLIDAY,8.00,0,8.00,0,0,0,0,Christmas

