2021-01,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,28*,29*,30*,31*,1,2,3,
,4,5,6,7,8,9,10,
VAC,8.00,0,0,0,0,0,0,Christmas
ADMIN,0,2.00,0,0,0,0,0,Billing; Email catchup; Timesheet
SICK,0,4.00,0,0,0,0,0,Pain
CMS-PIXEL-DTC,0,0,1.00,2.00,2.00,0,0,Meeting; TCLink
CMS-ETL,0,0,3.50,4.00,1.50,0,0,Ethernet firmware; Firmware; Firmware (Ipbus); PCB Received
DEVEL,0,0,1.00,0,0,0,0,VHDL-LS
ATLAS-MUON-PHASE2,0,0,1.50,0.50,0,0,0,Hog; Regmap call with Guillermo
CMS-EMU-UPGRADE-ME0,0,0,0,0,1.00,0,0,Meeting
,11,12,13,14,15,16,17,
CMS-PIXEL-DTC,0,1.00,1.00,1.00,0,0,0,Meet with Dan; Meeting
CMS-ETL,3.00,4.00,2.50,5.50,4.00,0,0,Firmware; Meet with Chris; Meeting; Meeting + emails; PCB Version Control; PCBs + emails; Soldering
ATLAS-MUON-PHASE2,2.00,0.50,0,1.00,1.00,0,0,BU Meeting; Hog documentation; Meet w/ Dan + Adam; Meeting; Meeting + emails
CMS-EMU-UPGRADE-ME0,0,0.50,0,1.00,1.00,0,0,Meeting; Repo configuration; Repository
CMS-EMU-UPGRADE-GE21,0,0,2.50,0,1.00,0,0,Repo config; Repository
,18,19,20,21,22,23,24,
SICK,0,0,0,2.00,0,0,0,Doctor\'s visit
CMS-PIXEL-DTC,0,2.00,2.00,0.50,1.00,0,0,IPMC; Meeting; Meeting (EMP); Meeting (Jeroen)
CMS-ETL,0,5.50,7.00,5.00,4.50,0,0,Emulator Meeting; Firmware; Firmware + Software; Firmware + meeting
ATLAS-MUON-PHASE2,0,0,1.00,2.00,0,0,0,Meeting
CMS-EMU-UPGRADE-ME0,0,0,0.50,0,1.00,0,0,Meeting; Meeting w/ Indara
HOLIDAY,8.00,0,0,0,0,0,0,
,25,26,27,28,29,30,31,
CMS-PIXEL-DTC,1.00,1.50,3.00,0,3.00,0,0,IPMC; Lab Tour; Meeting
CMS-ETL,3.00,1.00,2.50,1.50,1.50,0,0,Chris; Firmware; Firmware updates; Lab Tour; Linpol test; Loopback test; Meeting; Ozgur; SCA Firmware; Slides; slides
ATLAS-MUON-PHASE2,4.00,3.00,1.00,2.50,1.00,0,0,Email to Frans; Meet with Dan + Eric; Meeting; Meeting (Dan); Meeting (Group); Meeting (Hog); Meeting (Markus); Meeting (Tube mapping); Shopping
CMS-EMU-UPGRADE-ME0,1.00,0,0.50,0.50,1.00,0,0,FEAST/BPOL; Firmware; Meeting (Evaldas); Meeting (UCLA)
CMS-EMU-UPGRADE-GE21,0,3.00,0,0,0,0,0,Repo configuration
CMS-EMU-OPS-GE11,0,3.00,1.00,0,0,0,0,Meeting (USGEM); Repo configuration

