D,Time,Project,Task,Day,Hours
,,,,,
1,10-10:30,ETL,RB,THU,0.5
1,10:30-12,ETL,Meeting,THU,1.5
1,12-1:30,ETL,RB,THU,1.5
,,,,,
2,9-5,VAC,Katherine move,FRI,8.0
,,,,,
,,,,,
5,9-5,HOLIDAY,Labour day,MON,8.0
,,,,,
6,9-12,L0MDT,Thiago visit,TUE,3.0
6,12-4,VAC,Katherine move,TUE,4.0
,,,,,
7,9-12,VAC,Car breakdown,WED,3.0
7,1-2,ME0,Slides,WED,1.0
7,2-3,ETL,Meeting,WED,1.0
,,,,,
8,6-8,ME0SF,Workshop,THU,2.0
8,8-9,ETL,DAQ meeting,THU,1.0
8,9-10,ETL,Daniel,THU,1.0
8,10-11,L0MDT,Meeting,THU,1.0
8,11-12,APOLLO,IPMC Meeting,THU,1.0
8,1-2,ETL,RB,THU,1.0
8,2-3,ETL,Chloe,THU,1.0
8,3-4,APOLLO,IPMC Meeting,THU,1.0
,,,,,
9,9-2,ETL,Firmware; Test stand,FRI,5.0
,,,,,
,,,,,
12,9-11,GE11,OH S-bit delay,MON,2.0
12,11-1,GE21,OH S-bit delay,MON,2.0
12,1-2,L0MDT,Meeting,MON,1.0
12,2-5,SICK,Dr. Appt,MON,3.0
,,,,,
13,8-9,GE11,OH VFAT Masking,TUE,1.0
13,9-10,GE21,OH VFAT Masking,TUE,1.0
13,10-11,ME0SF,Meeting,TUE,1.0
13,11-1,ME0SF,SF integration,TUE,2.0
13,1-3,ETL,Computer setup,TUE,2.0
,,,,,
14,9-9:30,SICK,PT,WED,0.5
14,9:30-11:30,ME0SF,SF integration,WED,2.0
14,11:30-3:30,ETL,Meeting,WED,4.0
,,,,,
15,9-10,ME0SF,SF integration,THU,1.0
15,10-11,L0MDT,Meeting,THU,1.0
15,11-12:30,ETL,Update specs,THU,1.5
15,1-5,SICK,Back pain,THU,4.0
,,,,,
16,9-10,ME0SF,SF integration,FRI,1.0
16,10-12,ETL,Firmware updates,FRI,2.0
16,12-1,ADMIN,EDF Lunch,FRI,1.0
16,1-3,ETL,Emulator,FRI,1.0
16,3-4,ETL,Meeting,FRI,1.0
,,,,,
,,,,,
19,9:30-10,L0MDT,CSM,MON,0.5
19,10-10:30,ADMIN,Meet w/ Eric,MON,0.5
19,10:30-11:30,ME0,Plugin-card pinout,MON,1.0
19,1-3,ME0SF,SF integration,MON,1.0
19,3-4,SICK,Doctor,MON,1.0
19,4-4:30,APOLLO,IPMC,MON,0.5
,,,,,
20,9-9:30,ME0SF,SF integration,TUE,0.5
20,9:30-10,APOLLO,CPLD Build,TUE,0.5
20,10-10:30,L0MDT,Hog meeting,TUE,0.5
20,10:30-11,ETL,Hog meeting,TUE,0.5
20,11-11:30,GE21,Hog meeting,TUE,0.5
,,,,,
21,9:30-10:30,L0MDT,CSM Review,WED,1.0
21,10:30-12,ME0SF,SF integration,WED,1.5
21,12-5,--,Doctors appt,WED,5.0
,,,,,
22,9-1,ETL,RB firmware; CMS Week,THU,3.0
22,1-5,--,Back pain,THU,4.0
,,,,,
23,9-1,ETL,RB firmware; Documentation,FRI,4.0
23,1-5,--,Back pain,FRI,4.0
,,,,,
,,,,,
26,9-12,ETL,RB firmware,MON,3.0
26,1-2,L0MDT,Meeting,MON,1.0
26,2-5,--,Doctors appt,MON,3.0
,,,,,
27,9-12,ETL,RB firmware; meeting,TUE,3.0
27,2-4,ETL,RB firmware,TUE,2.0
,,,,,
28,9-1,ETL,RB firmware; meeting,WED,4.0
28,1-2,GE21,OH firmware,WED,1.0
28,2-3,GE11,OH firmware,WED,1.0
28,4-5,ETL,RB firmware,WED,1.0
28,5-6,ETL,RB firmware,WED,1.0
,,,,,
29,8:30-10,ETL,RB firmware,THU,1.5
29,10-11,L0MDT,Meeting,THU,1.0
29,11-12,ETL,Integration meeting,THU,1.0
29,12-2,ETL,Firmware,THU,2.0
29,2-3,APOLLO,Meet with Alp,THU,1.0
29,4-5,ME0,OH Meeting,THU,1.0
,,,,,
30,9-10:30,ADMIN,CERN Training,FRI,1.s
30,10:30-11,ETL,Meet with Daniel,FRI,0.5
30,12-1,ADMIN,EDF Meeting,FRI,1.0
30,1-1:30,GE21,Reporting,FRI,0.5
30,1:30-2,ME0,Reporting,FRI,0.5
30,2-3,ETL,Meet with Daniel,FRI,1.0
30,3-3:30,ETL,Meeting,FRI,0.5
30,3:30-5:30,--,Phone call,FRI,2.0
,,,,,

