2022-07,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,27*,28*,29*,30*,1,2,3,
ADMIN,1.00,0,0,0,0,0,0,Chat w/ Eric
CMS-ETL,3.00,1.50,0,3.00,0,0,0,BV connector; DDMTD w/ Daniel; HPTD Meeting; Hog meeting; Meeting; Workshop prep
CMS-EMU-UPGRADE-ME0,0,1.00,0,1.00,0,0,0,FW meeting; Meeting
CMS-EMU-OPS-GE11,0,0,0,0.50,0,0,0,Trigger primitives
ATLAS-MUON-PHASE2,2.00,1.50,0,1.00,2.50,0,0,CSM chat w/ Eric; CSM review; Hog meeting; Meeting; Monthly summary
CMS-EMU-UPGRADE-GE21,0,0,0,0.50,0,0,0,Firmware Repository
VAC,0,0,8.00,0,8.00,0,0,Day off; July 4th vacation
,4,5,6,7,8,9,10,
VAC,0,8.00,0,0,0,0,0,July 4th
HOLIDAY,8.00,0,0,0,0,0,0,July 4th
CMS-ETL,0,0,8.00,8.00,8.00,0,0,Workshop
,11,12,13,14,15,16,17,
ATLAS-MUON-PHASE2,1.00,0,0,1.00,0,0,0,Meeting
CMS-ETL,0,4.00,5.50,3.00,1.00,0,0,Bias voltage; Lab; Mechanics; Meeting; Module tester; Parts orders
CMS-EMU-UPGRADE-ME0,4.00,1.00,1.00,2.00,0,0,0,Meeting; Segment Finder; Segment finder
ADMIN,5.00,3.00,1.00,0,0,0,0,Admin; Meeting
CMS-EMU-UPGRADE-GE21,0,0,0.50,0,0,0,0,Firmware
APOLLO,0,0,0.50,0,0,0,0,OpenIPMC
SICK,0,0,0,0,7.00,0,0,Break
,18,19,20,21,22,23,24,
CMS-ETL,2.00,1.00,2.00,4.00,2.00,0,0,BV; Bias voltage; Module assembly; RB; readout board
CMS-EMU-UPGRADE-ME0,1.00,0.50,0,0.50,1.00,0,0,Segment finder
SICK,5.00,6.50,6.00,3.50,5.00,0,0,Recovering
,25,26,27,28,29,30,31,
CMS-ETL,1.50,2.00,2.00,2.00,2.00,0,0,BV; Meeting; Mockup; RB
CMS-EMU-UPGRADE-ME0,1.00,1.00,1.00,1.00,1.00,0,0,Segment finder
ADMIN,0,0,0,1.00,0,0,0,Artemis
APOLLO,0,0.50,0,0,0,0,0,IPMC
SICK,5.50,0,0,0,0,0,0,Recovering

