2022-04,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,28*,29*,30*,31*,1,2,3,
CMS-ETL,4.50,0.50,1.50,1.00,7.00,0,0,Firmware; MT Schematic; Meet with Indara; Meeting; So Young; slides
CMS-EMU-UPGRADE-ME0,0,1.00,0,0,0,0,0,Accruals; Chloe
CMS-EMU-OPS-GE11,0,0.50,0,0,0,0,0,Loopback firmware
ADMIN,0,1.00,0,0,0,0,0,Meet with Panos
APOLLO,0,2.00,1.00,3.00,0,0,0,AXI Regmap; IPMC; IPMC Meeting; Rev 1 Repair; SM Gerbers
ATLAS-MUON-PHASE2,1.00,1.50,5.50,1.50,0,0,0,Meeting; Repository; Thiago visit; Update project generator
CMS-EMU-OPS-CSC,0,1.00,0,0,0,0,0,ODMB Review
,4,5,6,7,8,9,10,
CMS-ETL,7.00,0,8.00,5.00,0,0,0,FW/SW Updates; MT Schematic; Meetings
ATLAS-MUON-PHASE2,1.00,1.00,0,1.00,0,0,0,EE Meeting; Hog meeting; Meeting
CMS-EMU-OPS-CSC,0,1.00,0,0,0,0,0,ODMB Review
CMS-EMU-UPGRADE-ME0,0,1.00,0,0,0,0,0,Firmware meeting
VAC,0,0,0,2.00,8.00,0,0,Vacation
,11,12,13,14,15,16,17,
VAC,8.00,8.00,8.00,8.00,8.00,0,0,Vacation
,18,19,20,21,22,23,24,
CMS-ETL,0,2.50,4.00,4.00,2.50,0,0,BU Meeting; Clock distribution; DAQ slides; ETROC Firmware; Email to mike; Firmware; Firmware update; Meeting
ATLAS-MUON-PHASE2,0,0,1.00,2.00,0,0,0,AXI Regmap updates; AXI regmap updates; Meet with Guillermo; Meeting
CMS-EMU-UPGRADE-ME0,0,1.50,1.00,1.00,2.00,0,0,Cluster DAQ; Firmware; Hardware meeting; Test bench work
HOLIDAY,8.00,0,0,0,0,0,0,Patriot\'s Day
ADMIN,0,3.00,0,0,2.00,0,0,Dig through email; EDF Meeting; Help zeynep; Talk with Dan; edf-help
CMS-EMU-UPGRADE-GE21,0,0,0.50,0,0,0,0,Cluster DAQ
APOLLO,0,0,0,1.00,0,0,0,IPMC Meeting
,25,26,27,28,29,30,1*,
CMS-ETL,0,0,1.00,1.50,4.00,0,0,DAQ Firmware; Emulator; Firmware updates; Giacomo; Integration meeting
ATLAS-MUON-PHASE2,4.00,3.00,5.50,2.00,0.50,0,0,BU Meeting; C2C Zynq; De-rot repository; EE Meeting
CMS-EMU-UPGRADE-ME0,0,0,0,1.00,0.50,0,0,Chloe; Meeting
ADMIN,1.50,2.50,1.00,0,0,0,0,EDF Lunch; EDF Meeting; Email
CMS-EMU-UPGRADE-GE21,0,0,0,0.50,0,0,0,OH Firmware
APOLLO,0,0,0,0,1.50,0,0,AXI Regmap
SICK,2.00,1.50,0,0,0,0,0,Doctors appt; MRI
CMS-EMU-OPS-GE11,0.50,0,0,0.50,0,0,0,OH Firmware; S-bit DAQ

