2021-04,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,29*,30*,31*,1,2,3,4,
ATLAS-MUON-PHASE2,6.50,5.00,0,5.00,1.00,0,0,Chat with Eric; Debugging XML to VHDL; Firmware; Firmware build system; Gitlab issues; Meeting; Project builds; Spybuffers; YAML
CMS-PIXEL-DTC,1.00,1.00,5.00,0,2.00,0,0,IPMC; IPMC linker issues; IPMC makefile + shelf testing; IPMC shelf testing; Meeting; Project build issues; new adapter dongle for v1
CMS-EMU-UPGRADE-ME0,0,1.00,0,1.00,1.00,0,0,Chat with Chloe; Chat with Evaldas; Segment finding firmware
CMS-EMU-UPGRADE-GE21,0,0.50,0,1.00,0,0,0,Accruals; Firmware updates & repo; USCMS Meeting
CMS-EMU-OPS-GE11,0,0.50,0,0,0,0,0,Firmware updates & repo
SICK,0,0,3.00,0,0,0,0,Chiropractor
ADMIN,0,0,0,1.00,0,0,0,Billing
EMPHATIC,0,0,0,0,3.00,0,0,Chat with Eric; Meeting with Eric + Linyan + Mike
CMS-ETL,0,0,0,0,1.00,0,0,Chat with Daniel
,5,6,7,8,9,10,11,
ATLAS-MUON-PHASE2,5.50,3.00,2.00,4.50,1.00,0,0,Firmware; Meeting; Repo merge; Spybuffers
CMS-EMU-UPGRADE-ME0,0,1.00,0,0,1.50,0,0,Firmware; Meeting
EMPHATIC,0,0,0,0,1.00,0,0,Meeting with Eric + Linyan
CMS-ETL,0.50,4.00,2.00,2.00,1.00,0,0,Gitlab issues; Looking for sheets; Meeting; Module PCB; Module shims
CMS-PIXEL-DTC,1.00,0,3.50,0,2.00,0,0,Apollo Chat; IPMC; IPMC dongle parts; Meeting
CMS-EMU-OPS-GE11,0,0,0.50,0,0,0,0,Firmware
SICK,0,0,0,1.50,0,0,0,Chiropractor
,12,13,14,15,16,17,18,
ATLAS-MUON-PHASE2,3.00,5.50,2.00,1.00,1.00,0,0,AXI Infrastructure; Firmware; Infrastructure chat; Meeting; Repository updates; Spybuffers
CMS-EMU-UPGRADE-ME0,3.00,2.00,3.00,10.50,0,0,0,Chat with Chloe; Firmware; Meeting; Segment Finder
CMS-ETL,1.00,0,1.00,0,0,0,0,Meeting
CMS-PIXEL-DTC,0,0.50,1.50,0,4.50,0,0,IPMC; IPMC programming; Meeting; Soldering IPMC dongles; TCDS2 / firmware junk; makefile; update firmware
,19,20,21,22,23,24,25,
ATLAS-MUON-PHASE2,0,2.00,0,0,0,0,0,Firmware
CMS-EMU-UPGRADE-GE21,0,0.50,0,0,0,0,0,Chat with Evaldas
CMS-EMU-UPGRADE-ME0,0,4.50,4.50,0,0,0,0,ASIAGO Layout; ASIAGO Schematic Updates; Chat with Chloe; Chat with Evaldas; Firmware Meeting; Layout computer setup
EMPHATIC,0,0,0.50,0,0,0,0,Meeting
CMS-ETL,0,0,0.50,0,0,0,0,Chat with Daniel
CMS-PIXEL-DTC,0,0,3.00,0,0,0,0,IPMC cable / programming; Meeting
CMS-EMU-OPS-GE11,0,0.50,0,0,0,0,0,Chat with Evaldas
HOLIDAY,8.00,0,0,0,0,0,0,Patriots Day
VAC,0,0,0,8.00,8.00,0,0,
,26,27,28,29,30,1*,2*,
ADMIN,0,0,0,3.00,0,0,0,Database setup
ATLAS-MUON-PHASE2,0,0,1.00,2.00,0,0,0,Chat with Daniel; Emails; Meeting
CMS-EMU-UPGRADE-ME0,0,0,0,1.00,0,0,0,Meeting
CMS-ETL,0,0,2.00,1.00,1.50,0,0,Chat with Daniel; Chat with Indara; Fab queries; I2C w/ Daniel; Meeting
CMS-PIXEL-DTC,0,0,5.50,0,4.50,0,0,IPMC; IPMC CI; IPMC build; IPMC build updates; Meeting
SICK,0,0,0,2.50,0,0,0,Chiropractor
VAC,8.00,8.00,0,0,0,0,0,

